Using backend: pytorch
Namespace(K=5, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.4, avoid_features=False, batch_size=50000, chunks=1, data_dir='/home/data/pyg/', dataset='ogbn-products', dropout=0.5, emb_path='/home/scx/NARS/', epoch_setting=[1000], eval_batch_size=100000, eval_every=10, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=1, inductive=False, input_drop=0.2, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='sagn', num_heads=1, num_hidden=512, num_runs=10, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=0, threshold=[0.9, 0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=0.0, weight_style='attention', zero_inits=True)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 50.1150 s
# Params: 2233391
LR: 1.000e-03/ Epoch 10, Time(s): 1.1531 13.6137, Best Val loss: 0.5372, Accs: Train: 0.8679, Val: 0.8633, Test: 0.7015, Best Val: 0.8633, Best Test: 0.7015
LR: 1.000e-03/ Epoch 20, Time(s): 1.1785 12.9833, Best Val loss: 0.4386, Accs: Train: 0.8902, Val: 0.8835, Test: 0.7261, Best Val: 0.8835, Best Test: 0.7261
LR: 1.000e-03/ Epoch 30, Time(s): 1.2687 13.2546, Best Val loss: 0.3988, Accs: Train: 0.8995, Val: 0.8921, Test: 0.7405, Best Val: 0.8921, Best Test: 0.7405
LR: 1.000e-03/ Epoch 40, Time(s): 1.2822 12.0724, Best Val loss: 0.3732, Accs: Train: 0.9060, Val: 0.8972, Test: 0.7544, Best Val: 0.8972, Best Test: 0.7544
LR: 1.000e-03/ Epoch 50, Time(s): 1.0741 12.3529, Best Val loss: 0.3571, Accs: Train: 0.9109, Val: 0.9020, Test: 0.7659, Best Val: 0.9020, Best Test: 0.7659
LR: 1.000e-03/ Epoch 60, Time(s): 1.1145 13.2762, Best Val loss: 0.3431, Accs: Train: 0.9146, Val: 0.9057, Test: 0.7733, Best Val: 0.9057, Best Test: 0.7733
LR: 1.000e-03/ Epoch 70, Time(s): 1.1793 13.5296, Best Val loss: 0.3334, Accs: Train: 0.9177, Val: 0.9093, Test: 0.7807, Best Val: 0.9093, Best Test: 0.7807
LR: 1.000e-03/ Epoch 80, Time(s): 1.1930 13.0841, Best Val loss: 0.3246, Accs: Train: 0.9208, Val: 0.9111, Test: 0.7834, Best Val: 0.9111, Best Test: 0.7834
LR: 1.000e-03/ Epoch 90, Time(s): 1.0392 12.8592, Best Val loss: 0.3177, Accs: Train: 0.9231, Val: 0.9131, Test: 0.7863, Best Val: 0.9131, Best Test: 0.7863
LR: 1.000e-03/ Epoch 100, Time(s): 1.0638 11.8595, Best Val loss: 0.3113, Accs: Train: 0.9259, Val: 0.9148, Test: 0.7889, Best Val: 0.9148, Best Test: 0.7889
LR: 1.000e-03/ Epoch 110, Time(s): 1.0294 11.5954, Best Val loss: 0.3060, Accs: Train: 0.9283, Val: 0.9160, Test: 0.7917, Best Val: 0.9160, Best Test: 0.7917
