Using backend: pytorch
Namespace(K=5, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.4, avoid_features=False, batch_size=50000, chunks=1, data_dir='/home/data/pyg/', dataset='ogbn-products', dropout=0.5, emb_path='/home/scx/NARS/', epoch_setting=[1000], eval_batch_size=100000, eval_every=10, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=1, inductive=False, input_drop=0.2, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='xnor_case1_sagn', num_heads=1, num_hidden=512, num_runs=10, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=0, threshold=[0.9, 0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=0.0, weight_style='attention', zero_inits=True)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 48.3784 s
# Params: 2233391
LR: 1.000e-03/ Epoch 10, Time(s): 1.2012 12.8309, Best Val loss: 2.3238, Accs: Train: 0.3958, Val: 0.3950, Test: 0.3187, Best Val: 0.3950, Best Test: 0.3187
LR: 1.000e-03/ Epoch 20, Time(s): 1.1491 12.2395, Best Val loss: 1.4687, Accs: Train: 0.7615, Val: 0.7542, Test: 0.5864, Best Val: 0.7542, Best Test: 0.5864
LR: 1.000e-03/ Epoch 30, Time(s): 1.4392 13.5026, Best Val loss: 1.0870, Accs: Train: 0.8398, Val: 0.8299, Test: 0.6543, Best Val: 0.8299, Best Test: 0.6543
LR: 1.000e-03/ Epoch 40, Time(s): 1.2370 12.8881, Best Val loss: 0.9513, Accs: Train: 0.8645, Val: 0.8555, Test: 0.6740, Best Val: 0.8555, Best Test: 0.6740
LR: 1.000e-03/ Epoch 50, Time(s): 1.1506 12.3177, Best Val loss: 0.9323, Accs: Train: 0.8726, Val: 0.8635, Test: 0.6863, Best Val: 0.8635, Best Test: 0.6863
LR: 1.000e-03/ Epoch 60, Time(s): 1.1486 12.2832, Best Val loss: 0.8952, Accs: Train: 0.8790, Val: 0.8685, Test: 0.6971, Best Val: 0.8685, Best Test: 0.6971
LR: 1.000e-03/ Epoch 70, Time(s): 1.1470 11.9534, Best Val loss: 0.8635, Accs: Train: 0.8839, Val: 0.8730, Test: 0.7018, Best Val: 0.8730, Best Test: 0.7018
LR: 1.000e-03/ Epoch 80, Time(s): 1.1719 12.6951, Best Val loss: 0.8583, Accs: Train: 0.8875, Val: 0.8757, Test: 0.7095, Best Val: 0.8757, Best Test: 0.7095
LR: 1.000e-03/ Epoch 90, Time(s): 1.1617 13.6176, Best Val loss: 0.8232, Accs: Train: 0.8904, Val: 0.8798, Test: 0.7168, Best Val: 0.8798, Best Test: 0.7168
LR: 1.000e-03/ Epoch 100, Time(s): 1.2055 12.9910, Best Val loss: 0.7984, Accs: Train: 0.8935, Val: 0.8825, Test: 0.7205, Best Val: 0.8825, Best Test: 0.7205
LR: 1.000e-03/ Epoch 110, Time(s): 1.2547 13.3785, Best Val loss: 0.7944, Accs: Train: 0.8956, Val: 0.8838, Test: 0.7263, Best Val: 0.8838, Best Test: 0.7263
LR: 1.000e-03/ Epoch 120, Time(s): 1.2657 12.4333, Best Val loss: 0.7801, Accs: Train: 0.8977, Val: 0.8857, Test: 0.7290, Best Val: 0.8857, Best Test: 0.7290
LR: 1.000e-03/ Epoch 130, Time(s): 1.1915 12.6637, Best Val loss: 0.7603, Accs: Train: 0.9007, Val: 0.8884, Test: 0.7339, Best Val: 0.8884, Best Test: 0.7339
LR: 1.000e-03/ Epoch 140, Time(s): 1.2608 12.3499, Best Val loss: 0.7521, Accs: Train: 0.9022, Val: 0.8905, Test: 0.7402, Best Val: 0.8905, Best Test: 0.7402
LR: 1.000e-03/ Epoch 150, Time(s): 1.3398 12.3913, Best Val loss: 0.7440, Accs: Train: 0.9041, Val: 0.8906, Test: 0.7413, Best Val: 0.8906, Best Test: 0.7413
LR: 1.000e-03/ Epoch 160, Time(s): 1.4763 12.1718, Best Val loss: 0.7411, Accs: Train: 0.9050, Val: 0.8921, Test: 0.7445, Best Val: 0.8921, Best Test: 0.7445
LR: 1.000e-03/ Epoch 170, Time(s): 1.3085 12.4060, Best Val loss: 0.7272, Accs: Train: 0.9062, Val: 0.8930, Test: 0.7483, Best Val: 0.8930, Best Test: 0.7483
