Using backend: pytorch
Namespace(K=5, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.4, avoid_features=False, batch_size=50000, chunks=1, data_dir='/home/data/pyg/', dataset='ogbn-products', dropout=0.5, emb_path='/home/scx/NARS/', epoch_setting=[1000], eval_batch_size=100000, eval_every=10, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=0, inductive=False, input_drop=0.2, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='xnor_case1_sagn', num_heads=1, num_hidden=512, num_runs=10, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=0, threshold=[0.9, 0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=0.0, weight_style='attention', zero_inits=True)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 43.3598 s
# Params: 2233391
LR: 1.000e-03/ Epoch 10, Time(s): 1.1859 11.4894, Best Val loss: 1.7161, Accs: Train: 0.6334, Val: 0.6320, Test: 0.4997, Best Val: 0.6320, Best Test: 0.4997
LR: 1.000e-03/ Epoch 20, Time(s): 1.2978 11.9754, Best Val loss: 1.2641, Accs: Train: 0.7993, Val: 0.7882, Test: 0.6212, Best Val: 0.7882, Best Test: 0.6212
LR: 1.000e-03/ Epoch 30, Time(s): 1.4155 11.5845, Best Val loss: 1.0388, Accs: Train: 0.8500, Val: 0.8395, Test: 0.6620, Best Val: 0.8395, Best Test: 0.6620
LR: 1.000e-03/ Epoch 40, Time(s): 1.2298 11.6938, Best Val loss: 0.9551, Accs: Train: 0.8654, Val: 0.8559, Test: 0.6783, Best Val: 0.8559, Best Test: 0.6783
LR: 1.000e-03/ Epoch 50, Time(s): 1.2361 11.6142, Best Val loss: 0.9117, Accs: Train: 0.8748, Val: 0.8658, Test: 0.6907, Best Val: 0.8658, Best Test: 0.6907
LR: 1.000e-03/ Epoch 60, Time(s): 1.2411 11.9228, Best Val loss: 0.8763, Accs: Train: 0.8805, Val: 0.8709, Test: 0.6958, Best Val: 0.8709, Best Test: 0.6958
LR: 1.000e-03/ Epoch 70, Time(s): 1.1516 11.7621, Best Val loss: 0.8598, Accs: Train: 0.8834, Val: 0.8715, Test: 0.7020, Best Val: 0.8715, Best Test: 0.7020
LR: 1.000e-03/ Epoch 80, Time(s): 1.1703 11.6169, Best Val loss: 0.8497, Accs: Train: 0.8874, Val: 0.8755, Test: 0.7078, Best Val: 0.8755, Best Test: 0.7078
LR: 1.000e-03/ Epoch 90, Time(s): 1.1443 11.4065, Best Val loss: 0.8196, Accs: Train: 0.8912, Val: 0.8795, Test: 0.7138, Best Val: 0.8795, Best Test: 0.7138
LR: 1.000e-03/ Epoch 100, Time(s): 1.2293 11.2273, Best Val loss: 0.7964, Accs: Train: 0.8938, Val: 0.8819, Test: 0.7208, Best Val: 0.8819, Best Test: 0.7208
LR: 1.000e-03/ Epoch 110, Time(s): 1.1789 11.2748, Best Val loss: 0.7913, Accs: Train: 0.8955, Val: 0.8829, Test: 0.7242, Best Val: 0.8829, Best Test: 0.7242
