Namespace(K=5, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.4, avoid_features=False, batch_size=50000, chunks=1, data_dir='/home/data/pyg/', dataset='ogbn-products', dropout=0.5, emb_path='/home/scx/NARS/', epoch_setting=[1000], eval_batch_size=100000, eval_every=10, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=0, inductive=False, input_drop=0.2, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='xnor_case1_sagn', num_heads=1, num_hidden=512, num_runs=10, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=0, threshold=[0.9, 0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=0.0, weight_style='attention', zero_inits=True)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 15.2780 s
# Params: 2240606
LR: 1.000e-03/ Epoch 10, Time(s): 1.4406 11.7804, Best Val loss: 1.7559, Accs: Train: 0.7327, Val: 0.7041, Test: 0.5415, Best Val: 0.7041, Best Test: 0.5415
LR: 1.000e-03/ Epoch 20, Time(s): 1.3593 11.6966, Best Val loss: 0.9298, Accs: Train: 0.8633, Val: 0.8561, Test: 0.6825, Best Val: 0.8561, Best Test: 0.6825
LR: 1.000e-03/ Epoch 30, Time(s): 1.4257 11.5861, Best Val loss: 0.8755, Accs: Train: 0.8712, Val: 0.8606, Test: 0.6837, Best Val: 0.8606, Best Test: 0.6837
LR: 1.000e-03/ Epoch 40, Time(s): 1.3253 11.5327, Best Val loss: 0.8517, Accs: Train: 0.8766, Val: 0.8660, Test: 0.6933, Best Val: 0.8660, Best Test: 0.6933
LR: 1.000e-03/ Epoch 50, Time(s): 1.4015 11.3843, Best Val loss: 0.8517, Accs: Train: 0.8780, Val: 0.8626, Test: 0.6925, Best Val: 0.8660, Best Test: 0.6933
LR: 1.000e-03/ Epoch 60, Time(s): 1.3380 11.3982, Best Val loss: 0.8456, Accs: Train: 0.8868, Val: 0.8725, Test: 0.7032, Best Val: 0.8725, Best Test: 0.7032
LR: 1.000e-03/ Epoch 70, Time(s): 1.3662 11.4506, Best Val loss: 0.8390, Accs: Train: 0.8887, Val: 0.8740, Test: 0.7083, Best Val: 0.8740, Best Test: 0.7083
LR: 1.000e-03/ Epoch 80, Time(s): 1.3011 11.9248, Best Val loss: 0.8151, Accs: Train: 0.8917, Val: 0.8763, Test: 0.7204, Best Val: 0.8763, Best Test: 0.7204
LR: 1.000e-03/ Epoch 90, Time(s): 1.3200 11.4698, Best Val loss: 0.8151, Accs: Train: 0.8911, Val: 0.8755, Test: 0.7271, Best Val: 0.8763, Best Test: 0.7204
LR: 1.000e-03/ Epoch 100, Time(s): 1.3142 11.5006, Best Val loss: 0.8151, Accs: Train: 0.8923, Val: 0.8743, Test: 0.7226, Best Val: 0.8763, Best Test: 0.7204
LR: 1.000e-03/ Epoch 110, Time(s): 1.3430 11.5901, Best Val loss: 0.8033, Accs: Train: 0.8975, Val: 0.8821, Test: 0.7346, Best Val: 0.8821, Best Test: 0.7346
LR: 1.000e-03/ Epoch 120, Time(s): 1.3771 11.5207, Best Val loss: 0.8033, Accs: Train: 0.8974, Val: 0.8794, Test: 0.7338, Best Val: 0.8821, Best Test: 0.7346
LR: 1.000e-03/ Epoch 130, Time(s): 1.5314 11.8806, Best Val loss: 0.8077, Accs: Train: 0.8981, Val: 0.8823, Test: 0.7408, Best Val: 0.8823, Best Test: 0.7408
LR: 1.000e-03/ Epoch 140, Time(s): 1.6062 11.5814, Best Val loss: 0.7939, Accs: Train: 0.8996, Val: 0.8835, Test: 0.7464, Best Val: 0.8835, Best Test: 0.7464
LR: 1.000e-03/ Epoch 150, Time(s): 1.4016 11.5344, Best Val loss: 0.7939, Accs: Train: 0.9012, Val: 0.8829, Test: 0.7424, Best Val: 0.8835, Best Test: 0.7464
LR: 1.000e-03/ Epoch 160, Time(s): 1.3938 11.5193, Best Val loss: 0.7806, Accs: Train: 0.9033, Val: 0.8855, Test: 0.7448, Best Val: 0.8855, Best Test: 0.7448
LR: 1.000e-03/ Epoch 170, Time(s): 1.3031 11.4725, Best Val loss: 0.7806, Accs: Train: 0.9038, Val: 0.8854, Test: 0.7480, Best Val: 0.8855, Best Test: 0.7448
LR: 1.000e-03/ Epoch 180, Time(s): 1.5207 11.4622, Best Val loss: 0.7902, Accs: Train: 0.9038, Val: 0.8875, Test: 0.7481, Best Val: 0.8875, Best Test: 0.7481
LR: 1.000e-03/ Epoch 190, Time(s): 1.4529 11.6331, Best Val loss: 0.7773, Accs: Train: 0.9058, Val: 0.8893, Test: 0.7483, Best Val: 0.8893, Best Test: 0.7483
LR: 1.000e-03/ Epoch 200, Time(s): 1.5654 11.4897, Best Val loss: 0.7773, Accs: Train: 0.9058, Val: 0.8887, Test: 0.7571, Best Val: 0.8893, Best Test: 0.7483
LR: 1.000e-03/ Epoch 210, Time(s): 1.3930 11.9226, Best Val loss: 0.7778, Accs: Train: 0.9087, Val: 0.8904, Test: 0.7568, Best Val: 0.8904, Best Test: 0.7568
LR: 1.000e-03/ Epoch 220, Time(s): 1.3877 11.3976, Best Val loss: 0.7765, Accs: Train: 0.9093, Val: 0.8920, Test: 0.7566, Best Val: 0.8920, Best Test: 0.7566
LR: 1.000e-03/ Epoch 230, Time(s): 1.3946 11.4151, Best Val loss: 0.7765, Accs: Train: 0.9088, Val: 0.8909, Test: 0.7548, Best Val: 0.8920, Best Test: 0.7566
LR: 1.000e-03/ Epoch 240, Time(s): 1.5123 11.3150, Best Val loss: 0.7844, Accs: Train: 0.9090, Val: 0.8925, Test: 0.7532, Best Val: 0.8925, Best Test: 0.7532
LR: 1.000e-03/ Epoch 250, Time(s): 1.4415 11.4963, Best Val loss: 0.7844, Accs: Train: 0.9097, Val: 0.8911, Test: 0.7581, Best Val: 0.8925, Best Test: 0.7532
LR: 1.000e-03/ Epoch 260, Time(s): 1.4326 11.3847, Best Val loss: 0.7841, Accs: Train: 0.9118, Val: 0.8944, Test: 0.7582, Best Val: 0.8944, Best Test: 0.7582
LR: 1.000e-03/ Epoch 270, Time(s): 1.2889 11.9190, Best Val loss: 0.7727, Accs: Train: 0.9120, Val: 0.8949, Test: 0.7618, Best Val: 0.8949, Best Test: 0.7618
LR: 1.000e-03/ Epoch 280, Time(s): 1.4634 11.3395, Best Val loss: 0.7727, Accs: Train: 0.9105, Val: 0.8912, Test: 0.7575, Best Val: 0.8949, Best Test: 0.7618
LR: 1.000e-03/ Epoch 290, Time(s): 1.3961 11.7031, Best Val loss: 0.7727, Accs: Train: 0.9117, Val: 0.8935, Test: 0.7599, Best Val: 0.8949, Best Test: 0.7618
LR: 1.000e-03/ Epoch 300, Time(s): 1.5038 11.5738, Best Val loss: 0.7727, Accs: Train: 0.9111, Val: 0.8924, Test: 0.7578, Best Val: 0.8949, Best Test: 0.7618
LR: 1.000e-03/ Epoch 310, Time(s): 1.4118 11.5935, Best Val loss: 0.7727, Accs: Train: 0.9129, Val: 0.8939, Test: 0.7617, Best Val: 0.8949, Best Test: 0.7618
LR: 1.000e-03/ Epoch 320, Time(s): 1.4148 11.5464, Best Val loss: 0.7727, Accs: Train: 0.9122, Val: 0.8948, Test: 0.7573, Best Val: 0.8949, Best Test: 0.7618
LR: 1.000e-03/ Epoch 330, Time(s): 1.3575 11.7515, Best Val loss: 0.7727, Accs: Train: 0.9127, Val: 0.8944, Test: 0.7571, Best Val: 0.8949, Best Test: 0.7618
LR: 1.000e-03/ Epoch 340, Time(s): 1.5128 11.3995, Best Val loss: 0.7968, Accs: Train: 0.9132, Val: 0.8955, Test: 0.7588, Best Val: 0.8955, Best Test: 0.7588
