Namespace(K=5, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.4, avoid_features=False, batch_size=50000, chunks=1, data_dir='/home/data/pyg/', dataset='ogbn-products', dropout=0.4, emb_path='/home/scx/NARS/', epoch_setting=[1000], eval_batch_size=100000, eval_every=10, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=0, inductive=False, input_drop=0.3, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='3by4_xnor_case1_sign', num_heads=1, num_hidden=512, num_runs=7, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=3, threshold=[0.9, 0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=0.0, weight_style='attention', zero_inits=False)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 15.1935 s
# Params: 3483703
LR: 1.000e-03/ Epoch 10, Time(s): 1.4827 11.6056, Best Val loss: 0.9960, Accs: Train: 0.8632, Val: 0.8568, Test: 0.6996, Best Val: 0.8568, Best Test: 0.6996
LR: 1.000e-03/ Epoch 20, Time(s): 1.4515 11.2539, Best Val loss: 0.6697, Accs: Train: 0.8956, Val: 0.8893, Test: 0.7487, Best Val: 0.8893, Best Test: 0.7487
LR: 1.000e-03/ Epoch 30, Time(s): 1.8405 10.8304, Best Val loss: 0.5915, Accs: Train: 0.9046, Val: 0.8967, Test: 0.7666, Best Val: 0.8967, Best Test: 0.7666
LR: 1.000e-03/ Epoch 40, Time(s): 1.5293 11.1229, Best Val loss: 0.5458, Accs: Train: 0.9104, Val: 0.9021, Test: 0.7721, Best Val: 0.9021, Best Test: 0.7721
LR: 1.000e-03/ Epoch 50, Time(s): 1.5447 11.0579, Best Val loss: 0.5287, Accs: Train: 0.9154, Val: 0.9045, Test: 0.7793, Best Val: 0.9045, Best Test: 0.7793
LR: 1.000e-03/ Epoch 60, Time(s): 1.5853 11.2810, Best Val loss: 0.5080, Accs: Train: 0.9190, Val: 0.9073, Test: 0.7826, Best Val: 0.9073, Best Test: 0.7826
LR: 1.000e-03/ Epoch 70, Time(s): 1.4919 11.0796, Best Val loss: 0.4945, Accs: Train: 0.9211, Val: 0.9091, Test: 0.7850, Best Val: 0.9091, Best Test: 0.7850
LR: 1.000e-03/ Epoch 80, Time(s): 1.4278 11.0245, Best Val loss: 0.4877, Accs: Train: 0.9244, Val: 0.9112, Test: 0.7867, Best Val: 0.9112, Best Test: 0.7867
LR: 1.000e-03/ Epoch 90, Time(s): 1.4439 11.0534, Best Val loss: 0.4930, Accs: Train: 0.9269, Val: 0.9136, Test: 0.7893, Best Val: 0.9136, Best Test: 0.7893
LR: 1.000e-03/ Epoch 100, Time(s): 1.5474 11.0645, Best Val loss: 0.4930, Accs: Train: 0.9241, Val: 0.9096, Test: 0.7899, Best Val: 0.9136, Best Test: 0.7893
LR: 1.000e-03/ Epoch 110, Time(s): 1.4144 11.0756, Best Val loss: 0.4930, Accs: Train: 0.9262, Val: 0.9105, Test: 0.7900, Best Val: 0.9136, Best Test: 0.7893
LR: 1.000e-03/ Epoch 120, Time(s): 1.7584 10.9854, Best Val loss: 0.4930, Accs: Train: 0.9238, Val: 0.9085, Test: 0.7919, Best Val: 0.9136, Best Test: 0.7893
LR: 1.000e-03/ Epoch 130, Time(s): 1.5377 11.1664, Best Val loss: 0.4930, Accs: Train: 0.9231, Val: 0.9106, Test: 0.7926, Best Val: 0.9136, Best Test: 0.7893
LR: 1.000e-03/ Epoch 140, Time(s): 1.4851 10.9738, Best Val loss: 0.4930, Accs: Train: 0.9257, Val: 0.9118, Test: 0.7890, Best Val: 0.9136, Best Test: 0.7893
