Namespace(K=5, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.4, avoid_features=False, batch_size=50000, chunks=1, data_dir='/home/data/pyg/', dataset='ogbn-products', dropout=0.4, emb_path='/home/scx/NARS/', epoch_setting=[1000], eval_batch_size=100000, eval_every=10, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=0, inductive=False, input_drop=0.3, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='3by4_xnor_case1_sign', num_heads=1, num_hidden=512, num_runs=10, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=0, threshold=[0.9, 0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=0.0, weight_style='attention', zero_inits=False)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 13.8732 s
# Params: 3483703
LR: 1.000e-03/ Epoch 10, Time(s): 1.5237 12.1708, Best Val loss: 1.2134, Accs: Train: 0.8362, Val: 0.8338, Test: 0.6645, Best Val: 0.8338, Best Test: 0.6645
LR: 1.000e-03/ Epoch 20, Time(s): 1.4915 10.8788, Best Val loss: 0.6914, Accs: Train: 0.8911, Val: 0.8847, Test: 0.7483, Best Val: 0.8847, Best Test: 0.7483
LR: 1.000e-03/ Epoch 30, Time(s): 1.6317 11.0644, Best Val loss: 0.5960, Accs: Train: 0.9026, Val: 0.8950, Test: 0.7623, Best Val: 0.8950, Best Test: 0.7623
LR: 1.000e-03/ Epoch 40, Time(s): 1.6235 10.7891, Best Val loss: 0.5510, Accs: Train: 0.9095, Val: 0.9001, Test: 0.7713, Best Val: 0.9001, Best Test: 0.7713
LR: 1.000e-03/ Epoch 50, Time(s): 1.4863 10.8739, Best Val loss: 0.5344, Accs: Train: 0.9147, Val: 0.9042, Test: 0.7725, Best Val: 0.9042, Best Test: 0.7725
LR: 1.000e-03/ Epoch 60, Time(s): 1.4380 10.6269, Best Val loss: 0.5022, Accs: Train: 0.9182, Val: 0.9077, Test: 0.7820, Best Val: 0.9077, Best Test: 0.7820
LR: 1.000e-03/ Epoch 70, Time(s): 1.4425 10.8992, Best Val loss: 0.5022, Accs: Train: 0.9166, Val: 0.9073, Test: 0.7803, Best Val: 0.9077, Best Test: 0.7820
LR: 1.000e-03/ Epoch 80, Time(s): 1.5505 10.9377, Best Val loss: 0.5022, Accs: Train: 0.9169, Val: 0.9054, Test: 0.7838, Best Val: 0.9077, Best Test: 0.7820
LR: 1.000e-03/ Epoch 90, Time(s): 1.4615 11.1738, Best Val loss: 0.5022, Accs: Train: 0.9181, Val: 0.9063, Test: 0.7860, Best Val: 0.9077, Best Test: 0.7820
LR: 1.000e-03/ Epoch 100, Time(s): 1.3970 10.7108, Best Val loss: 0.4924, Accs: Train: 0.9213, Val: 0.9087, Test: 0.7854, Best Val: 0.9087, Best Test: 0.7854
LR: 1.000e-03/ Epoch 110, Time(s): 1.6137 11.1022, Best Val loss: 0.4887, Accs: Train: 0.9228, Val: 0.9117, Test: 0.7884, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 120, Time(s): 1.5864 10.9517, Best Val loss: 0.4887, Accs: Train: 0.9242, Val: 0.9107, Test: 0.7848, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 130, Time(s): 1.5066 11.1922, Best Val loss: 0.4887, Accs: Train: 0.9221, Val: 0.9095, Test: 0.7912, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 140, Time(s): 1.5143 10.8223, Best Val loss: 0.4887, Accs: Train: 0.9232, Val: 0.9104, Test: 0.7871, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 150, Time(s): 1.5087 10.8912, Best Val loss: 0.4887, Accs: Train: 0.9217, Val: 0.9078, Test: 0.7918, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 160, Time(s): 1.4718 10.6362, Best Val loss: 0.4887, Accs: Train: 0.9239, Val: 0.9104, Test: 0.7858, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 170, Time(s): 1.4551 10.7136, Best Val loss: 0.4887, Accs: Train: 0.9229, Val: 0.9096, Test: 0.7859, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 180, Time(s): 1.5436 10.8931, Best Val loss: 0.4887, Accs: Train: 0.9217, Val: 0.9069, Test: 0.7817, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 190, Time(s): 1.4865 10.7952, Best Val loss: 0.4887, Accs: Train: 0.9190, Val: 0.9055, Test: 0.7796, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 200, Time(s): 1.5398 10.7299, Best Val loss: 0.4887, Accs: Train: 0.9272, Val: 0.9109, Test: 0.7834, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 210, Time(s): 1.4799 11.5758, Best Val loss: 0.4887, Accs: Train: 0.9217, Val: 0.9072, Test: 0.7829, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 220, Time(s): 1.4304 10.9386, Best Val loss: 0.4887, Accs: Train: 0.7041, Val: 0.6790, Test: 0.5474, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 230, Time(s): 1.5855 10.7040, Best Val loss: 0.4887, Accs: Train: 0.7183, Val: 0.6960, Test: 0.5636, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 240, Time(s): 1.4337 10.7288, Best Val loss: 0.4887, Accs: Train: 0.7236, Val: 0.7003, Test: 0.5686, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 250, Time(s): 1.5680 10.6262, Best Val loss: 0.4887, Accs: Train: 0.7296, Val: 0.7070, Test: 0.5772, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 260, Time(s): 1.4572 10.7254, Best Val loss: 0.4887, Accs: Train: 0.7346, Val: 0.7116, Test: 0.5808, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 270, Time(s): 1.7143 10.8866, Best Val loss: 0.4887, Accs: Train: 0.7388, Val: 0.7129, Test: 0.5807, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 280, Time(s): 1.5369 11.1422, Best Val loss: 0.4887, Accs: Train: 0.7398, Val: 0.7137, Test: 0.5845, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 290, Time(s): 1.5404 10.7405, Best Val loss: 0.4887, Accs: Train: 0.7426, Val: 0.7177, Test: 0.5844, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 300, Time(s): 1.6030 10.8026, Best Val loss: 0.4887, Accs: Train: 0.7432, Val: 0.7160, Test: 0.5828, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 310, Time(s): 1.5274 10.9146, Best Val loss: 0.4887, Accs: Train: 0.7470, Val: 0.7185, Test: 0.5873, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 320, Time(s): 1.4343 10.7754, Best Val loss: 0.4887, Accs: Train: 0.7492, Val: 0.7213, Test: 0.5872, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 330, Time(s): 1.4939 11.1757, Best Val loss: 0.4887, Accs: Train: 0.7513, Val: 0.7243, Test: 0.5915, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 340, Time(s): 1.5812 10.9898, Best Val loss: 0.4887, Accs: Train: 0.7497, Val: 0.7214, Test: 0.5886, Best Val: 0.9117, Best Test: 0.7884
LR: 1.000e-03/ Epoch 350, Time(s): 1.6366 11.1141, Best Val loss: 0.4887, Accs: Train: 0.7523, Val: 0.7235, Test: 0.5905, Best Val: 0.9117, Best Test: 0.7884
