Namespace(K=5, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.4, avoid_features=False, batch_size=20000, chunks=1, data_dir='/home/data/pyg/', dataset='ogbn-products', dropout=0.4, emb_path='/home/scx/NARS/', epoch_setting=[1000], eval_batch_size=20000, eval_every=10, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=1, inductive=False, input_drop=0.3, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='Expert_sign', num_heads=1, num_hidden=512, num_runs=10, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=0, threshold=[0.9, 0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=1e-06, weight_style='attention', zero_inits=False)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 15.4295 s
# Params: 4404655
LR: 1.000e-03/ Epoch 10, Time(s): 3.7332 17.5073, Best Val loss: 0.3990, Accs: Train: 0.9019, Val: 0.8949, Test: 0.7417, Best Val: 0.8949, Best Test: 0.7417
LR: 1.000e-03/ Epoch 20, Time(s): 3.5837 17.0867, Best Val loss: 0.3337, Accs: Train: 0.9211, Val: 0.9092, Test: 0.7850, Best Val: 0.9092, Best Test: 0.7850
LR: 1.000e-03/ Epoch 30, Time(s): 3.4336 16.9588, Best Val loss: 0.3117, Accs: Train: 0.9305, Val: 0.9147, Test: 0.7924, Best Val: 0.9147, Best Test: 0.7924
LR: 1.000e-03/ Epoch 40, Time(s): 3.5214 16.5903, Best Val loss: 0.3027, Accs: Train: 0.9368, Val: 0.9178, Test: 0.7944, Best Val: 0.9178, Best Test: 0.7944
LR: 1.000e-03/ Epoch 50, Time(s): 3.4537 16.5718, Best Val loss: 0.2975, Accs: Train: 0.9416, Val: 0.9199, Test: 0.7961, Best Val: 0.9199, Best Test: 0.7961
LR: 1.000e-03/ Epoch 60, Time(s): 3.6552 16.6534, Best Val loss: 0.2914, Accs: Train: 0.9467, Val: 0.9223, Test: 0.7971, Best Val: 0.9223, Best Test: 0.7971
LR: 1.000e-03/ Epoch 70, Time(s): 3.5357 16.8507, Best Val loss: 0.2883, Accs: Train: 0.9516, Val: 0.9225, Test: 0.8016, Best Val: 0.9225, Best Test: 0.8016
LR: 1.000e-03/ Epoch 80, Time(s): 3.6540 16.1903, Best Val loss: 0.2901, Accs: Train: 0.9544, Val: 0.9249, Test: 0.7998, Best Val: 0.9249, Best Test: 0.7998
LR: 1.000e-03/ Epoch 90, Time(s): 3.7494 16.7590, Best Val loss: 0.2901, Accs: Train: 0.9577, Val: 0.9246, Test: 0.8024, Best Val: 0.9249, Best Test: 0.7998
LR: 1.000e-03/ Epoch 100, Time(s): 3.3412 16.2596, Best Val loss: 0.2896, Accs: Train: 0.9599, Val: 0.9263, Test: 0.8018, Best Val: 0.9263, Best Test: 0.8018
LR: 1.000e-03/ Epoch 110, Time(s): 3.4044 16.3784, Best Val loss: 0.2903, Accs: Train: 0.9618, Val: 0.9267, Test: 0.8012, Best Val: 0.9267, Best Test: 0.8012
LR: 1.000e-03/ Epoch 120, Time(s): 3.4761 16.8683, Best Val loss: 0.2929, Accs: Train: 0.9640, Val: 0.9272, Test: 0.8035, Best Val: 0.9272, Best Test: 0.8035
LR: 1.000e-03/ Epoch 130, Time(s): 3.7104 16.2908, Best Val loss: 0.2951, Accs: Train: 0.9655, Val: 0.9282, Test: 0.8036, Best Val: 0.9282, Best Test: 0.8036
LR: 1.000e-03/ Epoch 140, Time(s): 3.5437 16.3101, Best Val loss: 0.2951, Accs: Train: 0.9665, Val: 0.9280, Test: 0.8036, Best Val: 0.9282, Best Test: 0.8036
LR: 1.000e-03/ Epoch 150, Time(s): 3.3384 16.7653, Best Val loss: 0.2951, Accs: Train: 0.9680, Val: 0.9282, Test: 0.8041, Best Val: 0.9282, Best Test: 0.8036
LR: 1.000e-03/ Epoch 160, Time(s): 3.4427 16.2059, Best Val loss: 0.2951, Accs: Train: 0.9688, Val: 0.9278, Test: 0.8023, Best Val: 0.9282, Best Test: 0.8036
LR: 1.000e-03/ Epoch 170, Time(s): 3.5162 17.2923, Best Val loss: 0.3002, Accs: Train: 0.9703, Val: 0.9286, Test: 0.8023, Best Val: 0.9286, Best Test: 0.8023
LR: 1.000e-03/ Epoch 180, Time(s): 3.6481 16.3567, Best Val loss: 0.3002, Accs: Train: 0.9709, Val: 0.9272, Test: 0.8035, Best Val: 0.9286, Best Test: 0.8023
LR: 1.000e-03/ Epoch 190, Time(s): 3.9689 16.6769, Best Val loss: 0.3002, Accs: Train: 0.9724, Val: 0.9278, Test: 0.8035, Best Val: 0.9286, Best Test: 0.8023
LR: 1.000e-03/ Epoch 200, Time(s): 3.7004 15.8145, Best Val loss: 0.3002, Accs: Train: 0.9731, Val: 0.9274, Test: 0.8006, Best Val: 0.9286, Best Test: 0.8023
LR: 1.000e-03/ Epoch 210, Time(s): 3.5821 16.4153, Best Val loss: 0.3081, Accs: Train: 0.9742, Val: 0.9286, Test: 0.8049, Best Val: 0.9286, Best Test: 0.8049
LR: 1.000e-03/ Epoch 220, Time(s): 3.4791 15.9850, Best Val loss: 0.3075, Accs: Train: 0.9750, Val: 0.9287, Test: 0.8048, Best Val: 0.9287, Best Test: 0.8048
LR: 1.000e-03/ Epoch 230, Time(s): 3.4094 15.9612, Best Val loss: 0.3101, Accs: Train: 0.9761, Val: 0.9293, Test: 0.8011, Best Val: 0.9293, Best Test: 0.8011
LR: 1.000e-03/ Epoch 240, Time(s): 3.4185 15.6796, Best Val loss: 0.3101, Accs: Train: 0.9767, Val: 0.9278, Test: 0.8030, Best Val: 0.9293, Best Test: 0.8011
LR: 1.000e-03/ Epoch 250, Time(s): 3.4112 16.2076, Best Val loss: 0.3101, Accs: Train: 0.9773, Val: 0.9277, Test: 0.8032, Best Val: 0.9293, Best Test: 0.8011
LR: 1.000e-03/ Epoch 260, Time(s): 3.5149 16.1603, Best Val loss: 0.3101, Accs: Train: 0.9781, Val: 0.9281, Test: 0.8055, Best Val: 0.9293, Best Test: 0.8011
LR: 1.000e-03/ Epoch 270, Time(s): 3.6547 16.1060, Best Val loss: 0.3101, Accs: Train: 0.9783, Val: 0.9287, Test: 0.7996, Best Val: 0.9293, Best Test: 0.8011
LR: 1.000e-03/ Epoch 280, Time(s): 3.3913 15.6226, Best Val loss: 0.3101, Accs: Train: 0.9795, Val: 0.9288, Test: 0.8015, Best Val: 0.9293, Best Test: 0.8011
LR: 1.000e-03/ Epoch 290, Time(s): 3.5674 16.1833, Best Val loss: 0.3101, Accs: Train: 0.9798, Val: 0.9281, Test: 0.8028, Best Val: 0.9293, Best Test: 0.8011
LR: 1.000e-03/ Epoch 300, Time(s): 3.4893 15.9870, Best Val loss: 0.3101, Accs: Train: 0.9808, Val: 0.9287, Test: 0.8020, Best Val: 0.9293, Best Test: 0.8011
LR: 1.000e-03/ Epoch 310, Time(s): 3.3973 16.0821, Best Val loss: 0.3101, Accs: Train: 0.9809, Val: 0.9284, Test: 0.8009, Best Val: 0.9293, Best Test: 0.8011
LR: 1.000e-03/ Epoch 320, Time(s): 3.5874 16.2400, Best Val loss: 0.3101, Accs: Train: 0.9812, Val: 0.9280, Test: 0.8010, Best Val: 0.9293, Best Test: 0.8011
LR: 1.000e-03/ Epoch 330, Time(s): 3.5028 16.3873, Best Val loss: 0.3101, Accs: Train: 0.9821, Val: 0.9283, Test: 0.8026, Best Val: 0.9293, Best Test: 0.8011
LR: 1.000e-03/ Epoch 340, Time(s): 3.5239 16.0338, Best Val loss: 0.3101, Accs: Train: 0.9824, Val: 0.9290, Test: 0.8020, Best Val: 0.9293, Best Test: 0.8011
LR: 1.000e-03/ Epoch 350, Time(s): 3.5990 16.3375, Best Val loss: 0.3101, Accs: Train: 0.9824, Val: 0.9287, Test: 0.8041, Best Val: 0.9293, Best Test: 0.8011
LR: 1.000e-03/ Epoch 360, Time(s): 3.5836 16.6147, Best Val loss: 0.3342, Accs: Train: 0.9829, Val: 0.9294, Test: 0.8009, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-03/ Epoch 370, Time(s): 3.4616 16.2651, Best Val loss: 0.3342, Accs: Train: 0.9829, Val: 0.9284, Test: 0.8024, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-03/ Epoch 380, Time(s): 3.6052 16.3610, Best Val loss: 0.3342, Accs: Train: 0.9841, Val: 0.9284, Test: 0.8018, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-03/ Epoch 390, Time(s): 3.5101 15.4064, Best Val loss: 0.3342, Accs: Train: 0.9840, Val: 0.9283, Test: 0.8023, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 400, Time(s): 3.4549 16.1314, Best Val loss: 0.3342, Accs: Train: 0.9844, Val: 0.9287, Test: 0.7990, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 410, Time(s): 3.6653 16.0468, Best Val loss: 0.3342, Accs: Train: 0.9848, Val: 0.9283, Test: 0.8003, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 420, Time(s): 3.4641 15.8140, Best Val loss: 0.3342, Accs: Train: 0.9851, Val: 0.9283, Test: 0.8005, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 430, Time(s): 3.4986 16.4065, Best Val loss: 0.3342, Accs: Train: 0.9851, Val: 0.9285, Test: 0.8003, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 440, Time(s): 3.5726 16.0542, Best Val loss: 0.3342, Accs: Train: 0.9852, Val: 0.9287, Test: 0.8003, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 450, Time(s): 3.5118 16.4283, Best Val loss: 0.3342, Accs: Train: 0.9855, Val: 0.9290, Test: 0.8005, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 460, Time(s): 3.4062 16.2200, Best Val loss: 0.3342, Accs: Train: 0.9856, Val: 0.9287, Test: 0.8005, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 470, Time(s): 3.4160 16.1006, Best Val loss: 0.3342, Accs: Train: 0.9858, Val: 0.9289, Test: 0.8004, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 480, Time(s): 3.4928 16.6324, Best Val loss: 0.3342, Accs: Train: 0.9859, Val: 0.9288, Test: 0.8007, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 490, Time(s): 3.7297 16.7675, Best Val loss: 0.3342, Accs: Train: 0.9861, Val: 0.9289, Test: 0.8017, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 500, Time(s): 3.4736 17.0666, Best Val loss: 0.3342, Accs: Train: 0.9860, Val: 0.9290, Test: 0.8014, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 510, Time(s): 4.6520 17.2233, Best Val loss: 0.3342, Accs: Train: 0.9862, Val: 0.9288, Test: 0.8018, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 520, Time(s): 3.4681 16.6617, Best Val loss: 0.3342, Accs: Train: 0.9863, Val: 0.9288, Test: 0.8014, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 530, Time(s): 3.5646 16.5653, Best Val loss: 0.3342, Accs: Train: 0.9864, Val: 0.9286, Test: 0.8012, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 540, Time(s): 3.5194 16.4723, Best Val loss: 0.3342, Accs: Train: 0.9864, Val: 0.9288, Test: 0.8008, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 550, Time(s): 3.5164 16.2422, Best Val loss: 0.3342, Accs: Train: 0.9866, Val: 0.9285, Test: 0.8009, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 560, Time(s): 3.5247 15.5375, Best Val loss: 0.3342, Accs: Train: 0.9866, Val: 0.9283, Test: 0.8002, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 570, Time(s): 3.5207 16.2386, Best Val loss: 0.3342, Accs: Train: 0.9867, Val: 0.9287, Test: 0.8002, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 580, Time(s): 3.3928 15.4970, Best Val loss: 0.3342, Accs: Train: 0.9868, Val: 0.9287, Test: 0.8000, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 590, Time(s): 3.3906 15.8227, Best Val loss: 0.3342, Accs: Train: 0.9869, Val: 0.9289, Test: 0.8002, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 600, Time(s): 3.4748 16.5039, Best Val loss: 0.3342, Accs: Train: 0.9870, Val: 0.9288, Test: 0.8004, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 610, Time(s): 3.4273 15.8691, Best Val loss: 0.3342, Accs: Train: 0.9871, Val: 0.9289, Test: 0.8010, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 620, Time(s): 3.4270 16.2524, Best Val loss: 0.3342, Accs: Train: 0.9872, Val: 0.9287, Test: 0.8010, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 630, Time(s): 3.3903 16.0671, Best Val loss: 0.3342, Accs: Train: 0.9872, Val: 0.9288, Test: 0.8004, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 640, Time(s): 3.6789 16.3541, Best Val loss: 0.3342, Accs: Train: 0.9874, Val: 0.9287, Test: 0.8010, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 650, Time(s): 3.5900 17.0320, Best Val loss: 0.3342, Accs: Train: 0.9875, Val: 0.9286, Test: 0.8007, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 660, Time(s): 3.9634 16.5538, Best Val loss: 0.3342, Accs: Train: 0.9877, Val: 0.9288, Test: 0.8010, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 670, Time(s): 3.6797 17.0048, Best Val loss: 0.3342, Accs: Train: 0.9877, Val: 0.9289, Test: 0.8008, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 680, Time(s): 3.6885 16.2433, Best Val loss: 0.3342, Accs: Train: 0.9876, Val: 0.9283, Test: 0.8009, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 690, Time(s): 3.4130 15.5826, Best Val loss: 0.3342, Accs: Train: 0.9878, Val: 0.9282, Test: 0.8008, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 700, Time(s): 3.4052 16.0923, Best Val loss: 0.3342, Accs: Train: 0.9879, Val: 0.9284, Test: 0.8006, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 710, Time(s): 3.8039 15.9685, Best Val loss: 0.3342, Accs: Train: 0.9879, Val: 0.9284, Test: 0.8007, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 720, Time(s): 3.5977 15.5913, Best Val loss: 0.3342, Accs: Train: 0.9879, Val: 0.9285, Test: 0.8002, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 730, Time(s): 3.4881 15.8255, Best Val loss: 0.3342, Accs: Train: 0.9879, Val: 0.9280, Test: 0.8001, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 740, Time(s): 3.6034 16.1704, Best Val loss: 0.3342, Accs: Train: 0.9879, Val: 0.9288, Test: 0.8004, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 750, Time(s): 3.3801 15.5870, Best Val loss: 0.3342, Accs: Train: 0.9880, Val: 0.9291, Test: 0.8008, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 760, Time(s): 3.7090 16.7240, Best Val loss: 0.3342, Accs: Train: 0.9881, Val: 0.9287, Test: 0.8011, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 770, Time(s): 3.5777 16.6075, Best Val loss: 0.3342, Accs: Train: 0.9881, Val: 0.9287, Test: 0.8005, Best Val: 0.9294, Best Test: 0.8009
LR: 1.000e-04/ Epoch 780, Time(s): 3.7198 16.0391, Best Val loss: 0.3342, Accs: Train: 0.9881, Val: 0.9284, Test: 0.8012, Best Val: 0.9294, Best Test: 0.8009
