Namespace(K=5, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.4, avoid_features=False, batch_size=1200, chunks=1, data_dir='/home/data/pyg/', dataset='ogbn-products', dropout=0.4, emb_path='/home/scx/NARS/', epoch_setting=[1000], eval_batch_size=1200, eval_every=10, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=1, inductive=False, input_drop=0.3, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='HCE_sign_concate_false', num_heads=1, num_hidden=512, num_runs=10, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=0, threshold=[0.9, 0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=1e-06, weight_style='attention', zero_inits=False)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 18.8927 s
# Params: 9132487
LR: 1.000e-03/ Epoch 10, Time(s): 42.3947 413.2270, Best Val loss: 0.3354, Accs: Train: 0.9244, Val: 0.9120, Test: 0.7839, Best Val: 0.9120, Best Test: 0.7839
LR: 1.000e-03/ Epoch 20, Time(s): 41.8920 419.6643, Best Val loss: 0.3086, Accs: Train: 0.9373, Val: 0.9183, Test: 0.7972, Best Val: 0.9183, Best Test: 0.7972
LR: 1.000e-03/ Epoch 30, Time(s): 40.5668 422.0265, Best Val loss: 0.3087, Accs: Train: 0.9434, Val: 0.9217, Test: 0.7958, Best Val: 0.9217, Best Test: 0.7958
LR: 1.000e-03/ Epoch 40, Time(s): 46.5049 409.9771, Best Val loss: 0.3065, Accs: Train: 0.9474, Val: 0.9220, Test: 0.7984, Best Val: 0.9220, Best Test: 0.7984
LR: 1.000e-03/ Epoch 50, Time(s): 42.0820 417.2264, Best Val loss: 0.3070, Accs: Train: 0.9503, Val: 0.9239, Test: 0.7986, Best Val: 0.9239, Best Test: 0.7986
LR: 1.000e-03/ Epoch 60, Time(s): 40.7953 411.1780, Best Val loss: 0.3212, Accs: Train: 0.9528, Val: 0.9244, Test: 0.7998, Best Val: 0.9244, Best Test: 0.7998
LR: 1.000e-03/ Epoch 70, Time(s): 41.4995 425.6291, Best Val loss: 0.3090, Accs: Train: 0.9555, Val: 0.9263, Test: 0.7992, Best Val: 0.9263, Best Test: 0.7992
LR: 1.000e-03/ Epoch 80, Time(s): 43.6791 417.3608, Best Val loss: 0.3090, Accs: Train: 0.9562, Val: 0.9262, Test: 0.8021, Best Val: 0.9263, Best Test: 0.7992
LR: 1.000e-03/ Epoch 90, Time(s): 45.6495 406.0644, Best Val loss: 0.3090, Accs: Train: 0.9578, Val: 0.9257, Test: 0.8072, Best Val: 0.9263, Best Test: 0.7992
LR: 1.000e-03/ Epoch 100, Time(s): 43.6354 409.6434, Best Val loss: 0.3090, Accs: Train: 0.9591, Val: 0.9259, Test: 0.8016, Best Val: 0.9263, Best Test: 0.7992
LR: 1.000e-03/ Epoch 110, Time(s): 43.2623 409.6131, Best Val loss: 0.3090, Accs: Train: 0.9602, Val: 0.9262, Test: 0.8044, Best Val: 0.9263, Best Test: 0.7992
LR: 1.000e-03/ Epoch 120, Time(s): 39.8029 417.6860, Best Val loss: 0.3320, Accs: Train: 0.9604, Val: 0.9271, Test: 0.8007, Best Val: 0.9271, Best Test: 0.8007
LR: 1.000e-03/ Epoch 130, Time(s): 41.8613 421.9919, Best Val loss: 0.3320, Accs: Train: 0.9619, Val: 0.9263, Test: 0.7993, Best Val: 0.9271, Best Test: 0.8007
LR: 1.000e-03/ Epoch 140, Time(s): 46.5308 410.4032, Best Val loss: 0.3286, Accs: Train: 0.9621, Val: 0.9279, Test: 0.8002, Best Val: 0.9279, Best Test: 0.8002
LR: 1.000e-03/ Epoch 150, Time(s): 42.5125 416.3118, Best Val loss: 0.3286, Accs: Train: 0.9632, Val: 0.9267, Test: 0.7985, Best Val: 0.9279, Best Test: 0.8002
LR: 1.000e-03/ Epoch 160, Time(s): 40.7506 414.0283, Best Val loss: 0.3286, Accs: Train: 0.9630, Val: 0.9277, Test: 0.7979, Best Val: 0.9279, Best Test: 0.8002
LR: 1.000e-03/ Epoch 170, Time(s): 42.6592 417.7891, Best Val loss: 0.3406, Accs: Train: 0.9650, Val: 0.9282, Test: 0.8008, Best Val: 0.9282, Best Test: 0.8008
LR: 1.000e-03/ Epoch 180, Time(s): 43.8980 428.5116, Best Val loss: 0.3406, Accs: Train: 0.9648, Val: 0.9278, Test: 0.8007, Best Val: 0.9282, Best Test: 0.8008
LR: 1.000e-03/ Epoch 190, Time(s): 44.3235 408.8028, Best Val loss: 0.3406, Accs: Train: 0.9653, Val: 0.9274, Test: 0.8000, Best Val: 0.9282, Best Test: 0.8008
LR: 1.000e-03/ Epoch 200, Time(s): 43.7726 412.7682, Best Val loss: 0.3406, Accs: Train: 0.9654, Val: 0.9280, Test: 0.8003, Best Val: 0.9282, Best Test: 0.8008
LR: 1.000e-03/ Epoch 210, Time(s): 40.8103 425.1320, Best Val loss: 0.3406, Accs: Train: 0.9665, Val: 0.9279, Test: 0.7977, Best Val: 0.9282, Best Test: 0.8008
LR: 1.000e-03/ Epoch 220, Time(s): 43.2192 420.4092, Best Val loss: 0.3406, Accs: Train: 0.9664, Val: 0.9275, Test: 0.8013, Best Val: 0.9282, Best Test: 0.8008
LR: 1.000e-03/ Epoch 230, Time(s): 47.2283 409.6091, Best Val loss: 0.3406, Accs: Train: 0.9667, Val: 0.9273, Test: 0.8004, Best Val: 0.9282, Best Test: 0.8008
LR: 1.000e-03/ Epoch 240, Time(s): 45.0664 413.0858, Best Val loss: 0.3490, Accs: Train: 0.9676, Val: 0.9286, Test: 0.8026, Best Val: 0.9286, Best Test: 0.8026
LR: 1.000e-03/ Epoch 250, Time(s): 42.5484 410.1331, Best Val loss: 0.3490, Accs: Train: 0.9678, Val: 0.9280, Test: 0.8061, Best Val: 0.9286, Best Test: 0.8026
LR: 1.000e-03/ Epoch 260, Time(s): 42.3402 422.0240, Best Val loss: 0.3490, Accs: Train: 0.9678, Val: 0.9279, Test: 0.7996, Best Val: 0.9286, Best Test: 0.8026
LR: 1.000e-03/ Epoch 270, Time(s): 46.1507 418.3558, Best Val loss: 0.3490, Accs: Train: 0.9685, Val: 0.9261, Test: 0.7955, Best Val: 0.9286, Best Test: 0.8026
LR: 1.000e-03/ Epoch 280, Time(s): 46.3197 409.8243, Best Val loss: 0.3490, Accs: Train: 0.9693, Val: 0.9282, Test: 0.8008, Best Val: 0.9286, Best Test: 0.8026
LR: 1.000e-03/ Epoch 290, Time(s): 41.8181 412.8346, Best Val loss: 0.3490, Accs: Train: 0.9695, Val: 0.9280, Test: 0.8030, Best Val: 0.9286, Best Test: 0.8026
LR: 1.000e-03/ Epoch 300, Time(s): 42.6178 415.5322, Best Val loss: 0.3490, Accs: Train: 0.9694, Val: 0.9277, Test: 0.7999, Best Val: 0.9286, Best Test: 0.8026
LR: 1.000e-03/ Epoch 310, Time(s): 43.1581 422.5970, Best Val loss: 0.3490, Accs: Train: 0.9693, Val: 0.9274, Test: 0.8005, Best Val: 0.9286, Best Test: 0.8026
LR: 1.000e-03/ Epoch 320, Time(s): 42.7687 411.5448, Best Val loss: 0.3490, Accs: Train: 0.9696, Val: 0.9269, Test: 0.8023, Best Val: 0.9286, Best Test: 0.8026
LR: 1.000e-03/ Epoch 330, Time(s): 41.7650 412.1921, Best Val loss: 0.3490, Accs: Train: 0.9705, Val: 0.9275, Test: 0.8040, Best Val: 0.9286, Best Test: 0.8026
LR: 1.000e-03/ Epoch 340, Time(s): 42.1505 411.0621, Best Val loss: 0.3490, Accs: Train: 0.9699, Val: 0.9284, Test: 0.7995, Best Val: 0.9286, Best Test: 0.8026
LR: 1.000e-03/ Epoch 350, Time(s): 42.5110 420.5941, Best Val loss: 0.3608, Accs: Train: 0.9706, Val: 0.9288, Test: 0.8022, Best Val: 0.9288, Best Test: 0.8022
LR: 1.000e-03/ Epoch 360, Time(s): 42.6663 426.3422, Best Val loss: 0.3608, Accs: Train: 0.9716, Val: 0.9286, Test: 0.7995, Best Val: 0.9288, Best Test: 0.8022
LR: 1.000e-03/ Epoch 370, Time(s): 42.3220 422.2087, Best Val loss: 0.3608, Accs: Train: 0.9712, Val: 0.9279, Test: 0.8023, Best Val: 0.9288, Best Test: 0.8022
LR: 1.000e-03/ Epoch 380, Time(s): 44.2927 411.3507, Best Val loss: 0.3608, Accs: Train: 0.9711, Val: 0.9276, Test: 0.7990, Best Val: 0.9288, Best Test: 0.8022
LR: 1.000e-03/ Epoch 390, Time(s): 25.7025 108.5521, Best Val loss: 0.3608, Accs: Train: 0.9711, Val: 0.9275, Test: 0.8019, Best Val: 0.9288, Best Test: 0.8022
LR: 1.000e-04/ Epoch 400, Time(s): 25.4955 79.7614, Best Val loss: 0.3608, Accs: Train: 0.9727, Val: 0.9283, Test: 0.8013, Best Val: 0.9288, Best Test: 0.8022
LR: 1.000e-04/ Epoch 410, Time(s): 23.2694 80.3855, Best Val loss: 0.3565, Accs: Train: 0.9738, Val: 0.9288, Test: 0.8016, Best Val: 0.9288, Best Test: 0.8016
LR: 1.000e-04/ Epoch 420, Time(s): 23.3154 79.6654, Best Val loss: 0.3594, Accs: Train: 0.9742, Val: 0.9289, Test: 0.8005, Best Val: 0.9289, Best Test: 0.8005
LR: 1.000e-04/ Epoch 430, Time(s): 23.1161 79.8933, Best Val loss: 0.3635, Accs: Train: 0.9745, Val: 0.9292, Test: 0.8022, Best Val: 0.9292, Best Test: 0.8022
LR: 1.000e-04/ Epoch 440, Time(s): 24.5311 80.9149, Best Val loss: 0.3635, Accs: Train: 0.9749, Val: 0.9297, Test: 0.8025, Best Val: 0.9297, Best Test: 0.8025
LR: 1.000e-04/ Epoch 450, Time(s): 23.3956 79.3088, Best Val loss: 0.3635, Accs: Train: 0.9752, Val: 0.9291, Test: 0.8020, Best Val: 0.9297, Best Test: 0.8025
LR: 1.000e-04/ Epoch 460, Time(s): 23.8951 80.1193, Best Val loss: 0.3635, Accs: Train: 0.9756, Val: 0.9287, Test: 0.8015, Best Val: 0.9297, Best Test: 0.8025
LR: 1.000e-04/ Epoch 470, Time(s): 23.2000 81.9342, Best Val loss: 0.3635, Accs: Train: 0.9758, Val: 0.9289, Test: 0.8018, Best Val: 0.9297, Best Test: 0.8025
LR: 1.000e-04/ Epoch 480, Time(s): 25.4755 79.3959, Best Val loss: 0.3635, Accs: Train: 0.9763, Val: 0.9291, Test: 0.8019, Best Val: 0.9297, Best Test: 0.8025
LR: 1.000e-04/ Epoch 490, Time(s): 23.8415 80.9294, Best Val loss: 0.3635, Accs: Train: 0.9765, Val: 0.9293, Test: 0.8026, Best Val: 0.9297, Best Test: 0.8025
LR: 1.000e-04/ Epoch 500, Time(s): 23.0136 79.1967, Best Val loss: 0.3635, Accs: Train: 0.9767, Val: 0.9296, Test: 0.8019, Best Val: 0.9297, Best Test: 0.8025
LR: 1.000e-04/ Epoch 510, Time(s): 23.8041 80.2094, Best Val loss: 0.3635, Accs: Train: 0.9769, Val: 0.9292, Test: 0.8026, Best Val: 0.9297, Best Test: 0.8025
LR: 1.000e-04/ Epoch 520, Time(s): 25.4552 79.8996, Best Val loss: 0.3635, Accs: Train: 0.9769, Val: 0.9287, Test: 0.8017, Best Val: 0.9297, Best Test: 0.8025
LR: 1.000e-04/ Epoch 530, Time(s): 23.3710 80.1505, Best Val loss: 0.3635, Accs: Train: 0.9772, Val: 0.9290, Test: 0.8024, Best Val: 0.9297, Best Test: 0.8025
LR: 1.000e-04/ Epoch 540, Time(s): 23.4926 80.6667, Best Val loss: 0.3635, Accs: Train: 0.9777, Val: 0.9293, Test: 0.8025, Best Val: 0.9297, Best Test: 0.8025
LR: 1.000e-04/ Epoch 550, Time(s): 23.4935 79.4845, Best Val loss: 0.3635, Accs: Train: 0.9779, Val: 0.9294, Test: 0.8021, Best Val: 0.9297, Best Test: 0.8025
LR: 1.000e-04/ Epoch 560, Time(s): 24.6447 82.8217, Best Val loss: 0.3635, Accs: Train: 0.9778, Val: 0.9293, Test: 0.8018, Best Val: 0.9297, Best Test: 0.8025
LR: 1.000e-04/ Epoch 570, Time(s): 25.3097 78.5949, Best Val loss: 0.3635, Accs: Train: 0.9780, Val: 0.9290, Test: 0.8021, Best Val: 0.9297, Best Test: 0.8025
