Namespace(K=5, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.4, avoid_features=False, batch_size=600, chunks=1, data_dir='/home/data/pyg/', dataset='ogbn-products', dropout=0.4, emb_path='/home/scx/NARS/', epoch_setting=[1000], eval_batch_size=600, eval_every=10, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=1, inductive=False, input_drop=0.3, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='HCE_sign_xnor_case1', num_heads=1, num_hidden=512, num_runs=5, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=0, threshold=[0.9, 0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=1e-06, weight_style='attention', zero_inits=False)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 14.9301 s
# Params: 9138631
LR: 1.000e-03/ Epoch 10, Time(s): 53.6180 153.9313, Best Val loss: 0.5641, Accs: Train: 0.9074, Val: 0.8939, Test: 0.7577, Best Val: 0.8939, Best Test: 0.7577
LR: 1.000e-03/ Epoch 20, Time(s): 53.7686 149.0496, Best Val loss: 0.5641, Accs: Train: 0.9080, Val: 0.8912, Test: 0.7529, Best Val: 0.8939, Best Test: 0.7577
LR: 1.000e-03/ Epoch 30, Time(s): 53.3385 147.4062, Best Val loss: 0.5580, Accs: Train: 0.9102, Val: 0.8943, Test: 0.7528, Best Val: 0.8943, Best Test: 0.7528
LR: 1.000e-03/ Epoch 40, Time(s): 53.4100 146.6836, Best Val loss: 0.5511, Accs: Train: 0.9118, Val: 0.8958, Test: 0.7611, Best Val: 0.8958, Best Test: 0.7611
LR: 1.000e-03/ Epoch 50, Time(s): 52.0019 146.1429, Best Val loss: 0.5733, Accs: Train: 0.9096, Val: 0.8968, Test: 0.7607, Best Val: 0.8968, Best Test: 0.7607
LR: 1.000e-03/ Epoch 60, Time(s): 53.6440 146.0982, Best Val loss: 0.5733, Accs: Train: 0.9093, Val: 0.8937, Test: 0.7573, Best Val: 0.8968, Best Test: 0.7607
LR: 1.000e-03/ Epoch 70, Time(s): 52.1492 145.1018, Best Val loss: 0.5733, Accs: Train: 0.9100, Val: 0.8951, Test: 0.7544, Best Val: 0.8968, Best Test: 0.7607
LR: 1.000e-03/ Epoch 80, Time(s): 53.2122 142.6599, Best Val loss: 0.5733, Accs: Train: 0.9084, Val: 0.8948, Test: 0.7615, Best Val: 0.8968, Best Test: 0.7607
LR: 1.000e-03/ Epoch 90, Time(s): 51.1331 136.3775, Best Val loss: 0.5733, Accs: Train: 0.9075, Val: 0.8934, Test: 0.7618, Best Val: 0.8968, Best Test: 0.7607
LR: 1.000e-03/ Epoch 100, Time(s): 49.9631 136.4363, Best Val loss: 0.5733, Accs: Train: 0.9058, Val: 0.8916, Test: 0.7605, Best Val: 0.8968, Best Test: 0.7607
LR: 1.000e-03/ Epoch 110, Time(s): 49.5245 135.9562, Best Val loss: 0.5733, Accs: Train: 0.9057, Val: 0.8922, Test: 0.7547, Best Val: 0.8968, Best Test: 0.7607
LR: 1.000e-03/ Epoch 120, Time(s): 49.6836 136.7871, Best Val loss: 0.5733, Accs: Train: 0.9065, Val: 0.8935, Test: 0.7498, Best Val: 0.8968, Best Test: 0.7607
LR: 1.000e-03/ Epoch 130, Time(s): 47.9968 136.7150, Best Val loss: 0.5733, Accs: Train: 0.9053, Val: 0.8927, Test: 0.7594, Best Val: 0.8968, Best Test: 0.7607
LR: 1.000e-03/ Epoch 140, Time(s): 49.4632 136.1484, Best Val loss: 0.5733, Accs: Train: 0.9043, Val: 0.8926, Test: 0.7556, Best Val: 0.8968, Best Test: 0.7607
LR: 1.000e-03/ Epoch 150, Time(s): 49.8529 136.3878, Best Val loss: 0.5733, Accs: Train: 0.9030, Val: 0.8908, Test: 0.7667, Best Val: 0.8968, Best Test: 0.7607
LR: 1.000e-03/ Epoch 160, Time(s): 49.4069 135.9696, Best Val loss: 0.5733, Accs: Train: 0.9038, Val: 0.8906, Test: 0.7536, Best Val: 0.8968, Best Test: 0.7607
