Using backend: pytorch
Namespace(K=5, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.4, avoid_features=False, batch_size=50000, chunks=1, data_dir='/home/data/pyg/', dataset='ogbn-products', dropout=0.4, emb_path='/home/scx/NARS/', epoch_setting=[1000], eval_batch_size=100000, eval_every=10, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=1, inductive=False, input_drop=0.3, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='xnor_case1_sign', num_heads=1, num_hidden=512, num_runs=10, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=1, threshold=[0.9, 0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=0.0, weight_style='attention', zero_inits=False)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 44.9678 s
# Params: 3483703
Epoch 10, Time(s): 1.6189 12.2952, Best Val loss: 3.1023, Accs: Train: 0.7997, Val: 0.7856, Test: 0.6015, Best Val: 0.7856, Best Test: 0.6015
Epoch 20, Time(s): 1.7067 11.8916, Best Val loss: 2.6640, Accs: Train: 0.8236, Val: 0.8144, Test: 0.6320, Best Val: 0.8144, Best Test: 0.6320
Epoch 30, Time(s): 1.7806 11.8186, Best Val loss: 2.4377, Accs: Train: 0.8312, Val: 0.8171, Test: 0.6370, Best Val: 0.8171, Best Test: 0.6370
Epoch 40, Time(s): 1.6512 11.6365, Best Val loss: 2.1193, Accs: Train: 0.8390, Val: 0.8268, Test: 0.6488, Best Val: 0.8268, Best Test: 0.6488
Epoch 50, Time(s): 1.6737 11.6266, Best Val loss: 2.1193, Accs: Train: 0.8366, Val: 0.8254, Test: 0.6417, Best Val: 0.8268, Best Test: 0.6488
Epoch 60, Time(s): 1.7387 11.7449, Best Val loss: 2.1193, Accs: Train: 0.8326, Val: 0.8204, Test: 0.6380, Best Val: 0.8268, Best Test: 0.6488
Epoch 70, Time(s): 1.6818 11.9746, Best Val loss: 2.1193, Accs: Train: 0.7805, Val: 0.7690, Test: 0.6001, Best Val: 0.8268, Best Test: 0.6488
Epoch 80, Time(s): 1.7531 11.5164, Best Val loss: 1.4439, Accs: Train: 0.8468, Val: 0.8355, Test: 0.6599, Best Val: 0.8355, Best Test: 0.6599
Epoch 90, Time(s): 1.5506 11.4974, Best Val loss: 1.2603, Accs: Train: 0.8560, Val: 0.8455, Test: 0.6661, Best Val: 0.8455, Best Test: 0.6661
Epoch 100, Time(s): 1.6662 11.6407, Best Val loss: 1.2603, Accs: Train: 0.8410, Val: 0.8319, Test: 0.6623, Best Val: 0.8455, Best Test: 0.6661
Epoch 110, Time(s): 1.6821 11.7971, Best Val loss: 1.2603, Accs: Train: 0.8513, Val: 0.8411, Test: 0.6646, Best Val: 0.8455, Best Test: 0.6661
Epoch 120, Time(s): 1.8125 12.2547, Best Val loss: 1.1927, Accs: Train: 0.8594, Val: 0.8471, Test: 0.6767, Best Val: 0.8471, Best Test: 0.6767
Epoch 130, Time(s): 1.6337 11.5934, Best Val loss: 1.1927, Accs: Train: 0.8320, Val: 0.8204, Test: 0.6595, Best Val: 0.8471, Best Test: 0.6767
Epoch 140, Time(s): 1.7428 11.2862, Best Val loss: 1.0273, Accs: Train: 0.8629, Val: 0.8530, Test: 0.6769, Best Val: 0.8530, Best Test: 0.6769
Epoch 150, Time(s): 1.6626 11.5189, Best Val loss: 1.0273, Accs: Train: 0.8462, Val: 0.8363, Test: 0.6665, Best Val: 0.8530, Best Test: 0.6769
Epoch 160, Time(s): 1.5243 11.5429, Best Val loss: 0.7935, Accs: Train: 0.8755, Val: 0.8644, Test: 0.6921, Best Val: 0.8644, Best Test: 0.6921
Epoch 170, Time(s): 1.5834 11.6682, Best Val loss: 0.7935, Accs: Train: 0.8771, Val: 0.8644, Test: 0.6943, Best Val: 0.8644, Best Test: 0.6921
Epoch 180, Time(s): 1.5928 11.6956, Best Val loss: 0.7425, Accs: Train: 0.8803, Val: 0.8676, Test: 0.7039, Best Val: 0.8676, Best Test: 0.7039
Epoch 190, Time(s): 1.6851 11.4983, Best Val loss: 0.7212, Accs: Train: 0.8810, Val: 0.8685, Test: 0.7037, Best Val: 0.8685, Best Test: 0.7037
Epoch 200, Time(s): 1.5985 11.5494, Best Val loss: 0.6802, Accs: Train: 0.8844, Val: 0.8732, Test: 0.7045, Best Val: 0.8732, Best Test: 0.7045
Epoch 210, Time(s): 1.7643 11.3322, Best Val loss: 0.6622, Accs: Train: 0.8864, Val: 0.8751, Test: 0.7081, Best Val: 0.8751, Best Test: 0.7081
Epoch 220, Time(s): 1.6450 11.9236, Best Val loss: 0.6542, Accs: Train: 0.8911, Val: 0.8789, Test: 0.7172, Best Val: 0.8789, Best Test: 0.7172
Epoch 230, Time(s): 1.7077 11.8070, Best Val loss: 0.6542, Accs: Train: 0.8877, Val: 0.8752, Test: 0.7077, Best Val: 0.8789, Best Test: 0.7172
Epoch 240, Time(s): 1.5856 11.7401, Best Val loss: 0.6404, Accs: Train: 0.8940, Val: 0.8813, Test: 0.7257, Best Val: 0.8813, Best Test: 0.7257
Epoch 250, Time(s): 1.6530 11.4426, Best Val loss: 0.6404, Accs: Train: 0.8919, Val: 0.8798, Test: 0.7223, Best Val: 0.8813, Best Test: 0.7257
Epoch 260, Time(s): 1.6758 11.6102, Best Val loss: 0.6227, Accs: Train: 0.8956, Val: 0.8836, Test: 0.7219, Best Val: 0.8836, Best Test: 0.7219
Epoch 270, Time(s): 1.5869 11.5099, Best Val loss: 0.6227, Accs: Train: 0.8935, Val: 0.8804, Test: 0.7185, Best Val: 0.8836, Best Test: 0.7219
Epoch 280, Time(s): 1.6724 11.7585, Best Val loss: 0.6227, Accs: Train: 0.8980, Val: 0.8832, Test: 0.7297, Best Val: 0.8836, Best Test: 0.7219
Epoch 290, Time(s): 1.7618 11.5018, Best Val loss: 0.5963, Accs: Train: 0.8999, Val: 0.8865, Test: 0.7370, Best Val: 0.8865, Best Test: 0.7370
Epoch 300, Time(s): 1.6496 11.4747, Best Val loss: 0.5963, Accs: Train: 0.8983, Val: 0.8844, Test: 0.7279, Best Val: 0.8865, Best Test: 0.7370
Epoch 310, Time(s): 1.6423 11.6632, Best Val loss: 0.5949, Accs: Train: 0.9028, Val: 0.8886, Test: 0.7352, Best Val: 0.8886, Best Test: 0.7352
Epoch 320, Time(s): 1.7409 11.8013, Best Val loss: 0.5949, Accs: Train: 0.9024, Val: 0.8874, Test: 0.7386, Best Val: 0.8886, Best Test: 0.7352
Epoch 330, Time(s): 1.5098 12.0313, Best Val loss: 0.5856, Accs: Train: 0.9043, Val: 0.8900, Test: 0.7347, Best Val: 0.8900, Best Test: 0.7347
Epoch 340, Time(s): 1.6989 11.5906, Best Val loss: 0.5856, Accs: Train: 0.9045, Val: 0.8890, Test: 0.7395, Best Val: 0.8900, Best Test: 0.7347
Epoch 350, Time(s): 1.6886 11.4471, Best Val loss: 0.5856, Accs: Train: 0.9029, Val: 0.8896, Test: 0.7444, Best Val: 0.8900, Best Test: 0.7347
Epoch 360, Time(s): 1.7204 11.5098, Best Val loss: 0.5856, Accs: Train: 0.9033, Val: 0.8885, Test: 0.7370, Best Val: 0.8900, Best Test: 0.7347
Epoch 370, Time(s): 1.6076 11.8516, Best Val loss: 0.5856, Accs: Train: 0.8976, Val: 0.8835, Test: 0.7296, Best Val: 0.8900, Best Test: 0.7347
Epoch 380, Time(s): 1.7263 11.4115, Best Val loss: 0.5856, Accs: Train: 0.9039, Val: 0.8894, Test: 0.7375, Best Val: 0.8900, Best Test: 0.7347
Epoch 390, Time(s): 1.6581 12.1550, Best Val loss: 0.5856, Accs: Train: 0.9025, Val: 0.8886, Test: 0.7314, Best Val: 0.8900, Best Test: 0.7347
Epoch 400, Time(s): 1.5628 11.5932, Best Val loss: 0.5757, Accs: Train: 0.9055, Val: 0.8920, Test: 0.7450, Best Val: 0.8920, Best Test: 0.7450
Epoch 410, Time(s): 1.6320 11.5832, Best Val loss: 0.5699, Accs: Train: 0.9087, Val: 0.8926, Test: 0.7474, Best Val: 0.8926, Best Test: 0.7474
Epoch 420, Time(s): 1.7540 11.8281, Best Val loss: 0.5699, Accs: Train: 0.9063, Val: 0.8907, Test: 0.7482, Best Val: 0.8926, Best Test: 0.7474
Epoch 430, Time(s): 1.6261 11.7305, Best Val loss: 0.5699, Accs: Train: 0.9096, Val: 0.8923, Test: 0.7455, Best Val: 0.8926, Best Test: 0.7474
Epoch 440, Time(s): 1.6550 11.3877, Best Val loss: 0.5699, Accs: Train: 0.9064, Val: 0.8904, Test: 0.7440, Best Val: 0.8926, Best Test: 0.7474
Epoch 450, Time(s): 1.6831 11.3668, Best Val loss: 0.5699, Accs: Train: 0.9073, Val: 0.8919, Test: 0.7379, Best Val: 0.8926, Best Test: 0.7474
Epoch 460, Time(s): 1.6544 11.5747, Best Val loss: 0.5642, Accs: Train: 0.9109, Val: 0.8947, Test: 0.7389, Best Val: 0.8947, Best Test: 0.7389
Epoch 470, Time(s): 1.6847 11.6040, Best Val loss: 0.5642, Accs: Train: 0.9090, Val: 0.8921, Test: 0.7484, Best Val: 0.8947, Best Test: 0.7389
Epoch 480, Time(s): 1.6774 11.5611, Best Val loss: 0.5642, Accs: Train: 0.9025, Val: 0.8891, Test: 0.7368, Best Val: 0.8947, Best Test: 0.7389
Epoch 490, Time(s): 1.6853 11.5934, Best Val loss: 0.5642, Accs: Train: 0.9036, Val: 0.8885, Test: 0.7398, Best Val: 0.8947, Best Test: 0.7389
Epoch 500, Time(s): 1.6136 11.6592, Best Val loss: 0.5642, Accs: Train: 0.9059, Val: 0.8910, Test: 0.7443, Best Val: 0.8947, Best Test: 0.7389
Epoch 510, Time(s): 1.5699 11.7159, Best Val loss: 0.5642, Accs: Train: 0.9102, Val: 0.8944, Test: 0.7344, Best Val: 0.8947, Best Test: 0.7389
Epoch 520, Time(s): 1.6360 11.6338, Best Val loss: 0.5642, Accs: Train: 0.9067, Val: 0.8921, Test: 0.7467, Best Val: 0.8947, Best Test: 0.7389
Epoch 530, Time(s): 1.6269 11.5982, Best Val loss: 0.5642, Accs: Train: 0.9121, Val: 0.8946, Test: 0.7484, Best Val: 0.8947, Best Test: 0.7389
Epoch 540, Time(s): 1.6424 11.5406, Best Val loss: 0.5642, Accs: Train: 0.9007, Val: 0.8855, Test: 0.7352, Best Val: 0.8947, Best Test: 0.7389
Epoch 550, Time(s): 1.6169 11.6023, Best Val loss: 0.5721, Accs: Train: 0.9116, Val: 0.8948, Test: 0.7363, Best Val: 0.8948, Best Test: 0.7363
Epoch 560, Time(s): 1.7085 11.6021, Best Val loss: 0.5488, Accs: Train: 0.9140, Val: 0.8965, Test: 0.7510, Best Val: 0.8965, Best Test: 0.7510
Epoch 570, Time(s): 1.5723 11.7813, Best Val loss: 0.5564, Accs: Train: 0.9122, Val: 0.8970, Test: 0.7496, Best Val: 0.8970, Best Test: 0.7496
Epoch 580, Time(s): 1.6855 11.5323, Best Val loss: 0.5564, Accs: Train: 0.9120, Val: 0.8954, Test: 0.7505, Best Val: 0.8970, Best Test: 0.7496
Epoch 590, Time(s): 1.6545 11.5368, Best Val loss: 0.5564, Accs: Train: 0.9134, Val: 0.8961, Test: 0.7506, Best Val: 0.8970, Best Test: 0.7496
Epoch 600, Time(s): 1.7947 11.7528, Best Val loss: 0.5564, Accs: Train: 0.9130, Val: 0.8964, Test: 0.7500, Best Val: 0.8970, Best Test: 0.7496
Epoch 610, Time(s): 1.6240 11.5516, Best Val loss: 0.5564, Accs: Train: 0.9141, Val: 0.8961, Test: 0.7493, Best Val: 0.8970, Best Test: 0.7496
Epoch 620, Time(s): 1.7752 11.6823, Best Val loss: 0.5564, Accs: Train: 0.9148, Val: 0.8969, Test: 0.7558, Best Val: 0.8970, Best Test: 0.7496
Epoch 630, Time(s): 1.6645 11.7618, Best Val loss: 0.5564, Accs: Train: 0.9120, Val: 0.8962, Test: 0.7494, Best Val: 0.8970, Best Test: 0.7496
Epoch 640, Time(s): 1.5746 11.5854, Best Val loss: 0.5564, Accs: Train: 0.9128, Val: 0.8951, Test: 0.7402, Best Val: 0.8970, Best Test: 0.7496
Epoch 650, Time(s): 1.6358 11.9090, Best Val loss: 0.5564, Accs: Train: 0.9139, Val: 0.8952, Test: 0.7549, Best Val: 0.8970, Best Test: 0.7496
Epoch 660, Time(s): 1.7052 11.5604, Best Val loss: 0.5564, Accs: Train: 0.9137, Val: 0.8968, Test: 0.7515, Best Val: 0.8970, Best Test: 0.7496
Epoch 670, Time(s): 1.7951 11.5099, Best Val loss: 0.5564, Accs: Train: 0.9122, Val: 0.8960, Test: 0.7444, Best Val: 0.8970, Best Test: 0.7496
Epoch 680, Time(s): 1.5635 11.4668, Best Val loss: 0.5475, Accs: Train: 0.9146, Val: 0.8989, Test: 0.7563, Best Val: 0.8989, Best Test: 0.7563
Epoch 690, Time(s): 1.6177 11.7164, Best Val loss: 0.5475, Accs: Train: 0.9106, Val: 0.8945, Test: 0.7443, Best Val: 0.8989, Best Test: 0.7563
Epoch 700, Time(s): 1.7380 12.0082, Best Val loss: 0.5475, Accs: Train: 0.9059, Val: 0.8916, Test: 0.7415, Best Val: 0.8989, Best Test: 0.7563
Epoch 710, Time(s): 1.6469 11.5590, Best Val loss: 0.5475, Accs: Train: 0.9160, Val: 0.8982, Test: 0.7652, Best Val: 0.8989, Best Test: 0.7563
Epoch 720, Time(s): 1.6537 11.8574, Best Val loss: 0.5475, Accs: Train: 0.9096, Val: 0.8953, Test: 0.7432, Best Val: 0.8989, Best Test: 0.7563
Epoch 730, Time(s): 1.6854 11.5581, Best Val loss: 0.5475, Accs: Train: 0.9171, Val: 0.8978, Test: 0.7550, Best Val: 0.8989, Best Test: 0.7563
Epoch 740, Time(s): 1.7280 11.9729, Best Val loss: 0.5475, Accs: Train: 0.9137, Val: 0.8964, Test: 0.7569, Best Val: 0.8989, Best Test: 0.7563
Epoch 750, Time(s): 1.6975 11.9088, Best Val loss: 0.5372, Accs: Train: 0.9176, Val: 0.8995, Test: 0.7603, Best Val: 0.8995, Best Test: 0.7603
Epoch 760, Time(s): 1.6327 11.2662, Best Val loss: 0.5372, Accs: Train: 0.9137, Val: 0.8963, Test: 0.7465, Best Val: 0.8995, Best Test: 0.7603
Epoch 770, Time(s): 1.6082 12.0883, Best Val loss: 0.5372, Accs: Train: 0.9159, Val: 0.8974, Test: 0.7512, Best Val: 0.8995, Best Test: 0.7603
Epoch 780, Time(s): 1.7239 11.9555, Best Val loss: 0.5372, Accs: Train: 0.9132, Val: 0.8945, Test: 0.7447, Best Val: 0.8995, Best Test: 0.7603
Epoch 790, Time(s): 1.7771 11.4996, Best Val loss: 0.5372, Accs: Train: 0.9150, Val: 0.8985, Test: 0.7586, Best Val: 0.8995, Best Test: 0.7603
Epoch 800, Time(s): 1.5704 11.6047, Best Val loss: 0.5372, Accs: Train: 0.9118, Val: 0.8946, Test: 0.7588, Best Val: 0.8995, Best Test: 0.7603
Epoch 810, Time(s): 1.6449 11.4423, Best Val loss: 0.5372, Accs: Train: 0.9166, Val: 0.8981, Test: 0.7489, Best Val: 0.8995, Best Test: 0.7603
Epoch 820, Time(s): 1.6205 11.5567, Best Val loss: 0.5372, Accs: Train: 0.9154, Val: 0.8989, Test: 0.7583, Best Val: 0.8995, Best Test: 0.7603
Epoch 830, Time(s): 1.6022 11.6338, Best Val loss: 0.5372, Accs: Train: 0.9157, Val: 0.8957, Test: 0.7527, Best Val: 0.8995, Best Test: 0.7603
Epoch 840, Time(s): 1.6517 11.6793, Best Val loss: 0.5372, Accs: Train: 0.9165, Val: 0.8984, Test: 0.7473, Best Val: 0.8995, Best Test: 0.7603
Epoch 850, Time(s): 1.7722 11.5548, Best Val loss: 0.5372, Accs: Train: 0.9144, Val: 0.8984, Test: 0.7503, Best Val: 0.8995, Best Test: 0.7603
Epoch 860, Time(s): 1.8298 11.5075, Best Val loss: 0.5372, Accs: Train: 0.9140, Val: 0.8976, Test: 0.7559, Best Val: 0.8995, Best Test: 0.7603
Epoch 870, Time(s): 1.6041 11.7763, Best Val loss: 0.5372, Accs: Train: 0.9077, Val: 0.8932, Test: 0.7380, Best Val: 0.8995, Best Test: 0.7603
Epoch 880, Time(s): 1.7922 11.7001, Best Val loss: 0.5372, Accs: Train: 0.9059, Val: 0.8916, Test: 0.7464, Best Val: 0.8995, Best Test: 0.7603
Epoch 890, Time(s): 1.6845 12.1551, Best Val loss: 0.5372, Accs: Train: 0.9140, Val: 0.8948, Test: 0.7570, Best Val: 0.8995, Best Test: 0.7603
Epoch 900, Time(s): 1.6690 11.8505, Best Val loss: 0.5374, Accs: Train: 0.9175, Val: 0.8995, Test: 0.7541, Best Val: 0.8995, Best Test: 0.7541
Epoch 910, Time(s): 1.5857 11.5724, Best Val loss: 0.5374, Accs: Train: 0.9154, Val: 0.8986, Test: 0.7576, Best Val: 0.8995, Best Test: 0.7541
Epoch 920, Time(s): 1.7096 11.6447, Best Val loss: 0.5374, Accs: Train: 0.9045, Val: 0.8909, Test: 0.7388, Best Val: 0.8995, Best Test: 0.7541
Epoch 930, Time(s): 1.6156 11.7462, Best Val loss: 0.5374, Accs: Train: 0.9124, Val: 0.8969, Test: 0.7483, Best Val: 0.8995, Best Test: 0.7541
Epoch 940, Time(s): 1.5863 11.7228, Best Val loss: 0.5374, Accs: Train: 0.9150, Val: 0.8978, Test: 0.7492, Best Val: 0.8995, Best Test: 0.7541
Epoch 950, Time(s): 1.6844 11.4954, Best Val loss: 0.5374, Accs: Train: 0.9114, Val: 0.8927, Test: 0.7478, Best Val: 0.8995, Best Test: 0.7541
Epoch 960, Time(s): 1.6635 12.0153, Best Val loss: 0.5374, Accs: Train: 0.9144, Val: 0.8974, Test: 0.7634, Best Val: 0.8995, Best Test: 0.7541
Epoch 970, Time(s): 1.6004 11.7419, Best Val loss: 0.5374, Accs: Train: 0.9114, Val: 0.8958, Test: 0.7499, Best Val: 0.8995, Best Test: 0.7541
Epoch 980, Time(s): 1.6308 11.6764, Best Val loss: 0.5374, Accs: Train: 0.9156, Val: 0.8970, Test: 0.7457, Best Val: 0.8995, Best Test: 0.7541
Epoch 990, Time(s): 1.5555 11.6304, Best Val loss: 0.5374, Accs: Train: 0.9116, Val: 0.8954, Test: 0.7531, Best Val: 0.8995, Best Test: 0.7541
Epoch 1000, Time(s): 1.6608 11.6865, Best Val loss: 0.5374, Accs: Train: 0.9175, Val: 0.8986, Test: 0.7656, Best Val: 0.8995, Best Test: 0.7541
Stage: 0, Best Epoch 900, Val 0.8995, Test 0.7541
----------------------------------------------------------------------------------------------------
Run 1 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
