Using backend: pytorch
Namespace(K=5, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.4, avoid_features=False, batch_size=50000, chunks=1, data_dir='/home/data/pyg/', dataset='ogbn-products', dropout=0.4, emb_path='/home/scx/NARS/', epoch_setting=[1000], eval_batch_size=100000, eval_every=10, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=1, inductive=False, input_drop=0.3, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='xnor_case1_sign', num_heads=1, num_hidden=512, num_runs=10, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=0, threshold=[0.9, 0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=0.0, weight_style='attention', zero_inits=False)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 46.7960 s
# Params: 3483703
LR: 1.000e-03/ Epoch 10, Time(s): 1.7312 11.8945, Best Val loss: 3.0549, Accs: Train: 0.7695, Val: 0.7579, Test: 0.5843, Best Val: 0.7579, Best Test: 0.5843
LR: 1.000e-03/ Epoch 20, Time(s): 1.6838 11.2397, Best Val loss: 2.1232, Accs: Train: 0.8235, Val: 0.8124, Test: 0.6303, Best Val: 0.8124, Best Test: 0.6303
LR: 1.000e-03/ Epoch 30, Time(s): 1.7398 11.2319, Best Val loss: 1.7099, Accs: Train: 0.8415, Val: 0.8279, Test: 0.6501, Best Val: 0.8279, Best Test: 0.6501
LR: 1.000e-03/ Epoch 40, Time(s): 1.7037 12.8175, Best Val loss: 1.4990, Accs: Train: 0.8453, Val: 0.8322, Test: 0.6550, Best Val: 0.8322, Best Test: 0.6550
LR: 1.000e-03/ Epoch 50, Time(s): 1.6988 11.3968, Best Val loss: 1.4990, Accs: Train: 0.8440, Val: 0.8313, Test: 0.6487, Best Val: 0.8322, Best Test: 0.6550
LR: 1.000e-03/ Epoch 60, Time(s): 1.7947 12.4176, Best Val loss: 1.4990, Accs: Train: 0.8292, Val: 0.8176, Test: 0.6364, Best Val: 0.8322, Best Test: 0.6550
LR: 1.000e-03/ Epoch 70, Time(s): 1.7227 12.6499, Best Val loss: 0.9766, Accs: Train: 0.8541, Val: 0.8448, Test: 0.6748, Best Val: 0.8448, Best Test: 0.6748
LR: 1.000e-03/ Epoch 80, Time(s): 1.5957 10.9648, Best Val loss: 0.9162, Accs: Train: 0.8567, Val: 0.8456, Test: 0.6722, Best Val: 0.8456, Best Test: 0.6722
LR: 1.000e-03/ Epoch 90, Time(s): 1.7546 11.3574, Best Val loss: 0.8148, Accs: Train: 0.8656, Val: 0.8546, Test: 0.6818, Best Val: 0.8546, Best Test: 0.6818
LR: 1.000e-03/ Epoch 100, Time(s): 1.5098 11.2846, Best Val loss: 0.7882, Accs: Train: 0.8702, Val: 0.8602, Test: 0.6839, Best Val: 0.8602, Best Test: 0.6839
LR: 1.000e-03/ Epoch 110, Time(s): 1.5519 11.9028, Best Val loss: 0.7327, Accs: Train: 0.8756, Val: 0.8666, Test: 0.6925, Best Val: 0.8666, Best Test: 0.6925
LR: 1.000e-03/ Epoch 120, Time(s): 1.5774 10.9776, Best Val loss: 0.7327, Accs: Train: 0.8453, Val: 0.8277, Test: 0.6317, Best Val: 0.8666, Best Test: 0.6925
LR: 1.000e-03/ Epoch 130, Time(s): 1.5411 11.6815, Best Val loss: 0.6974, Accs: Train: 0.8813, Val: 0.8687, Test: 0.6979, Best Val: 0.8687, Best Test: 0.6979
LR: 1.000e-03/ Epoch 140, Time(s): 1.5455 11.0984, Best Val loss: 0.6974, Accs: Train: 0.8823, Val: 0.8674, Test: 0.7002, Best Val: 0.8687, Best Test: 0.6979
LR: 1.000e-03/ Epoch 150, Time(s): 1.5299 11.1016, Best Val loss: 0.6698, Accs: Train: 0.8864, Val: 0.8750, Test: 0.7035, Best Val: 0.8750, Best Test: 0.7035
LR: 1.000e-03/ Epoch 160, Time(s): 1.6199 11.1500, Best Val loss: 0.6698, Accs: Train: 0.8857, Val: 0.8723, Test: 0.7048, Best Val: 0.8750, Best Test: 0.7035
LR: 1.000e-03/ Epoch 170, Time(s): 1.5225 10.6905, Best Val loss: 0.6698, Accs: Train: 0.8889, Val: 0.8745, Test: 0.7171, Best Val: 0.8750, Best Test: 0.7035
LR: 1.000e-03/ Epoch 180, Time(s): 1.5175 10.9449, Best Val loss: 0.6739, Accs: Train: 0.8874, Val: 0.8763, Test: 0.7094, Best Val: 0.8763, Best Test: 0.7094
LR: 1.000e-03/ Epoch 190, Time(s): 1.5999 10.8953, Best Val loss: 0.6739, Accs: Train: 0.8840, Val: 0.8715, Test: 0.7002, Best Val: 0.8763, Best Test: 0.7094
LR: 1.000e-03/ Epoch 200, Time(s): 1.5517 11.3909, Best Val loss: 0.6739, Accs: Train: 0.8858, Val: 0.8712, Test: 0.6971, Best Val: 0.8763, Best Test: 0.7094
LR: 1.000e-03/ Epoch 210, Time(s): 1.6119 10.8966, Best Val loss: 0.6389, Accs: Train: 0.8931, Val: 0.8798, Test: 0.7177, Best Val: 0.8798, Best Test: 0.7177
LR: 1.000e-03/ Epoch 220, Time(s): 1.5322 11.1636, Best Val loss: 0.6379, Accs: Train: 0.8947, Val: 0.8800, Test: 0.7204, Best Val: 0.8800, Best Test: 0.7204
LR: 1.000e-03/ Epoch 230, Time(s): 1.6408 10.7543, Best Val loss: 0.6168, Accs: Train: 0.8948, Val: 0.8813, Test: 0.7193, Best Val: 0.8813, Best Test: 0.7193
LR: 1.000e-03/ Epoch 240, Time(s): 1.5003 10.9377, Best Val loss: 0.6168, Accs: Train: 0.8849, Val: 0.8715, Test: 0.7046, Best Val: 0.8813, Best Test: 0.7193
LR: 1.000e-03/ Epoch 250, Time(s): 1.7056 11.0506, Best Val loss: 0.6168, Accs: Train: 0.8858, Val: 0.8728, Test: 0.7065, Best Val: 0.8813, Best Test: 0.7193
LR: 1.000e-03/ Epoch 260, Time(s): 1.5888 11.2396, Best Val loss: 0.6168, Accs: Train: 0.8182, Val: 0.7969, Test: 0.6306, Best Val: 0.8813, Best Test: 0.7193
LR: 1.000e-03/ Epoch 270, Time(s): 1.6483 11.2121, Best Val loss: 0.6168, Accs: Train: 0.8906, Val: 0.8745, Test: 0.7173, Best Val: 0.8813, Best Test: 0.7193
LR: 1.000e-03/ Epoch 280, Time(s): 1.4845 10.7318, Best Val loss: 0.6221, Accs: Train: 0.8944, Val: 0.8814, Test: 0.7231, Best Val: 0.8814, Best Test: 0.7231
LR: 1.000e-03/ Epoch 290, Time(s): 1.5276 12.8170, Best Val loss: 0.6221, Accs: Train: 0.8674, Val: 0.8535, Test: 0.6860, Best Val: 0.8814, Best Test: 0.7231
LR: 1.000e-03/ Epoch 300, Time(s): 1.6887 11.0067, Best Val loss: 0.6221, Accs: Train: 0.8905, Val: 0.8787, Test: 0.7184, Best Val: 0.8814, Best Test: 0.7231
LR: 1.000e-03/ Epoch 310, Time(s): 1.4996 10.9803, Best Val loss: 0.6221, Accs: Train: 0.8735, Val: 0.8603, Test: 0.6880, Best Val: 0.8814, Best Test: 0.7231
LR: 1.000e-03/ Epoch 320, Time(s): 1.6158 11.2624, Best Val loss: 0.6180, Accs: Train: 0.8952, Val: 0.8815, Test: 0.7118, Best Val: 0.8815, Best Test: 0.7118
LR: 1.000e-03/ Epoch 330, Time(s): 1.6559 12.6413, Best Val loss: 0.6180, Accs: Train: 0.8870, Val: 0.8734, Test: 0.7097, Best Val: 0.8815, Best Test: 0.7118
LR: 1.000e-03/ Epoch 340, Time(s): 1.7006 10.8730, Best Val loss: 0.6180, Accs: Train: 0.8909, Val: 0.8791, Test: 0.7113, Best Val: 0.8815, Best Test: 0.7118
