Using backend: pytorch
Namespace(K=5, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.4, avoid_features=False, batch_size=50000, chunks=1, data_dir='/home/data/pyg/', dataset='ogbn-products', dropout=0.4, emb_path='/home/scx/NARS/', epoch_setting=[1000], eval_batch_size=100000, eval_every=10, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=0, inductive=False, input_drop=0.3, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='sign', num_heads=1, num_hidden=512, num_runs=10, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=0, threshold=[0.9, 0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=0.0, weight_style='attention', zero_inits=False)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 45.1824 s
# Params: 3483703
Epoch 10, Time(s): 1.2703 10.6489, Best Val loss: 0.4558, Accs: Train: 0.8888, Val: 0.8845, Test: 0.7386, Best Val: 0.8845, Best Test: 0.7386
Epoch 20, Time(s): 1.4515 10.5976, Best Val loss: 0.3845, Accs: Train: 0.9056, Val: 0.8970, Test: 0.7717, Best Val: 0.8970, Best Test: 0.7717
Epoch 30, Time(s): 1.3336 10.3304, Best Val loss: 0.3551, Accs: Train: 0.9143, Val: 0.9045, Test: 0.7818, Best Val: 0.9045, Best Test: 0.7818
Epoch 40, Time(s): 1.3671 11.1452, Best Val loss: 0.3379, Accs: Train: 0.9193, Val: 0.9086, Test: 0.7866, Best Val: 0.9086, Best Test: 0.7866
Epoch 50, Time(s): 1.3051 10.3865, Best Val loss: 0.3252, Accs: Train: 0.9238, Val: 0.9115, Test: 0.7887, Best Val: 0.9115, Best Test: 0.7887
Epoch 60, Time(s): 1.3765 11.3332, Best Val loss: 0.3173, Accs: Train: 0.9273, Val: 0.9142, Test: 0.7924, Best Val: 0.9142, Best Test: 0.7924
Epoch 70, Time(s): 1.3703 11.2695, Best Val loss: 0.3106, Accs: Train: 0.9296, Val: 0.9159, Test: 0.7948, Best Val: 0.9159, Best Test: 0.7948
Epoch 80, Time(s): 1.3588 11.3613, Best Val loss: 0.3067, Accs: Train: 0.9322, Val: 0.9174, Test: 0.7956, Best Val: 0.9174, Best Test: 0.7956
Epoch 90, Time(s): 1.6984 11.3514, Best Val loss: 0.3023, Accs: Train: 0.9345, Val: 0.9183, Test: 0.7966, Best Val: 0.9183, Best Test: 0.7966
Epoch 100, Time(s): 1.7479 10.7893, Best Val loss: 0.2997, Accs: Train: 0.9369, Val: 0.9194, Test: 0.7981, Best Val: 0.9194, Best Test: 0.7981
Epoch 110, Time(s): 1.4376 11.4511, Best Val loss: 0.2973, Accs: Train: 0.9388, Val: 0.9202, Test: 0.7966, Best Val: 0.9202, Best Test: 0.7966
Epoch 120, Time(s): 1.4534 11.2152, Best Val loss: 0.2952, Accs: Train: 0.9405, Val: 0.9212, Test: 0.7986, Best Val: 0.9212, Best Test: 0.7986
Epoch 130, Time(s): 1.3251 10.6428, Best Val loss: 0.2934, Accs: Train: 0.9419, Val: 0.9222, Test: 0.7994, Best Val: 0.9222, Best Test: 0.7994
Epoch 140, Time(s): 1.3672 10.5906, Best Val loss: 0.2921, Accs: Train: 0.9432, Val: 0.9227, Test: 0.8010, Best Val: 0.9227, Best Test: 0.8010
Epoch 150, Time(s): 1.3056 10.6299, Best Val loss: 0.2911, Accs: Train: 0.9445, Val: 0.9234, Test: 0.7988, Best Val: 0.9234, Best Test: 0.7988
Epoch 160, Time(s): 1.4557 10.7222, Best Val loss: 0.2909, Accs: Train: 0.9459, Val: 0.9237, Test: 0.8000, Best Val: 0.9237, Best Test: 0.8000
Epoch 170, Time(s): 1.4153 10.5759, Best Val loss: 0.2907, Accs: Train: 0.9473, Val: 0.9246, Test: 0.8011, Best Val: 0.9246, Best Test: 0.8011
Epoch 180, Time(s): 1.3680 9.8037, Best Val loss: 0.2907, Accs: Train: 0.9485, Val: 0.9245, Test: 0.8024, Best Val: 0.9246, Best Test: 0.8011
Epoch 190, Time(s): 1.2793 9.7251, Best Val loss: 0.2893, Accs: Train: 0.9494, Val: 0.9247, Test: 0.8023, Best Val: 0.9247, Best Test: 0.8023
Epoch 200, Time(s): 1.3820 10.6587, Best Val loss: 0.2902, Accs: Train: 0.9504, Val: 0.9248, Test: 0.8024, Best Val: 0.9248, Best Test: 0.8024
Epoch 210, Time(s): 1.3845 10.2589, Best Val loss: 0.2887, Accs: Train: 0.9516, Val: 0.9253, Test: 0.8016, Best Val: 0.9253, Best Test: 0.8016
Epoch 220, Time(s): 1.3408 9.6902, Best Val loss: 0.2905, Accs: Train: 0.9524, Val: 0.9257, Test: 0.8027, Best Val: 0.9257, Best Test: 0.8027
Epoch 230, Time(s): 1.3020 10.7135, Best Val loss: 0.2899, Accs: Train: 0.9536, Val: 0.9262, Test: 0.8040, Best Val: 0.9262, Best Test: 0.8040
Epoch 240, Time(s): 1.3798 10.4856, Best Val loss: 0.2904, Accs: Train: 0.9545, Val: 0.9263, Test: 0.8038, Best Val: 0.9263, Best Test: 0.8038
Epoch 250, Time(s): 1.2799 9.8665, Best Val loss: 0.2904, Accs: Train: 0.9555, Val: 0.9263, Test: 0.8042, Best Val: 0.9263, Best Test: 0.8038
Epoch 260, Time(s): 1.4321 10.6137, Best Val loss: 0.2910, Accs: Train: 0.9563, Val: 0.9270, Test: 0.8036, Best Val: 0.9270, Best Test: 0.8036
Epoch 270, Time(s): 1.4351 10.8531, Best Val loss: 0.2920, Accs: Train: 0.9574, Val: 0.9271, Test: 0.8031, Best Val: 0.9271, Best Test: 0.8031
Epoch 280, Time(s): 1.3130 11.0253, Best Val loss: 0.2920, Accs: Train: 0.9582, Val: 0.9270, Test: 0.8059, Best Val: 0.9271, Best Test: 0.8031
Epoch 290, Time(s): 1.3327 9.9135, Best Val loss: 0.2928, Accs: Train: 0.9590, Val: 0.9272, Test: 0.8038, Best Val: 0.9272, Best Test: 0.8038
Epoch 300, Time(s): 1.3172 10.5231, Best Val loss: 0.2956, Accs: Train: 0.9597, Val: 0.9274, Test: 0.8049, Best Val: 0.9274, Best Test: 0.8049
Epoch 310, Time(s): 1.4279 10.7389, Best Val loss: 0.2949, Accs: Train: 0.9605, Val: 0.9275, Test: 0.8053, Best Val: 0.9275, Best Test: 0.8053
Epoch 320, Time(s): 1.3781 9.5851, Best Val loss: 0.2956, Accs: Train: 0.9610, Val: 0.9277, Test: 0.8054, Best Val: 0.9277, Best Test: 0.8054
Epoch 330, Time(s): 1.4494 10.0580, Best Val loss: 0.2965, Accs: Train: 0.9621, Val: 0.9283, Test: 0.8054, Best Val: 0.9283, Best Test: 0.8054
Epoch 340, Time(s): 1.2796 9.5583, Best Val loss: 0.2965, Accs: Train: 0.9627, Val: 0.9281, Test: 0.8059, Best Val: 0.9283, Best Test: 0.8054
Epoch 350, Time(s): 1.4074 10.7676, Best Val loss: 0.2965, Accs: Train: 0.9634, Val: 0.9279, Test: 0.8047, Best Val: 0.9283, Best Test: 0.8054
Epoch 360, Time(s): 1.2863 9.6465, Best Val loss: 0.3000, Accs: Train: 0.9641, Val: 0.9286, Test: 0.8048, Best Val: 0.9286, Best Test: 0.8048
Epoch 370, Time(s): 1.2644 9.9464, Best Val loss: 0.3000, Accs: Train: 0.9646, Val: 0.9285, Test: 0.8061, Best Val: 0.9286, Best Test: 0.8048
Epoch 380, Time(s): 1.3799 9.6023, Best Val loss: 0.3000, Accs: Train: 0.9654, Val: 0.9282, Test: 0.8053, Best Val: 0.9286, Best Test: 0.8048
