Using backend: pytorch
Namespace(K=5, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.4, avoid_features=False, batch_size=50000, chunks=1, data_dir='/home/data/pyg/', dataset='ogbn-products', dropout=0.4, emb_path='/home/scx/NARS/', epoch_setting=[1000], eval_batch_size=100000, eval_every=10, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=0, inductive=False, input_drop=0.3, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='sign', num_heads=1, num_hidden=512, num_runs=10, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=0, threshold=[0.9, 0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=0.0, weight_style='attention', zero_inits=False)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 49.0258 s
# Params: 3483703
LR: 1.000e-03/ Epoch 10, Time(s): 1.7713 12.3306, Best Val loss: 0.5412, Accs: Train: 0.8753, Val: 0.8696, Test: 0.7123, Best Val: 0.8696, Best Test: 0.7123
LR: 1.000e-03/ Epoch 20, Time(s): 1.3868 11.4985, Best Val loss: 0.4124, Accs: Train: 0.8985, Val: 0.8913, Test: 0.7611, Best Val: 0.8913, Best Test: 0.7611
LR: 1.000e-03/ Epoch 30, Time(s): 1.5062 11.2632, Best Val loss: 0.3738, Accs: Train: 0.9086, Val: 0.8997, Test: 0.7760, Best Val: 0.8997, Best Test: 0.7760
LR: 1.000e-03/ Epoch 40, Time(s): 1.3601 11.6469, Best Val loss: 0.3532, Accs: Train: 0.9150, Val: 0.9050, Test: 0.7831, Best Val: 0.9050, Best Test: 0.7831
LR: 1.000e-03/ Epoch 50, Time(s): 1.3062 11.3749, Best Val loss: 0.3384, Accs: Train: 0.9194, Val: 0.9080, Test: 0.7851, Best Val: 0.9080, Best Test: 0.7851
LR: 1.000e-03/ Epoch 60, Time(s): 1.5297 11.2131, Best Val loss: 0.3287, Accs: Train: 0.9230, Val: 0.9109, Test: 0.7893, Best Val: 0.9109, Best Test: 0.7893
LR: 1.000e-03/ Epoch 70, Time(s): 1.4348 11.4955, Best Val loss: 0.3208, Accs: Train: 0.9256, Val: 0.9131, Test: 0.7926, Best Val: 0.9131, Best Test: 0.7926
LR: 1.000e-03/ Epoch 80, Time(s): 1.4907 11.2298, Best Val loss: 0.3151, Accs: Train: 0.9281, Val: 0.9149, Test: 0.7940, Best Val: 0.9149, Best Test: 0.7940
LR: 1.000e-03/ Epoch 90, Time(s): 1.3665 11.5178, Best Val loss: 0.3099, Accs: Train: 0.9306, Val: 0.9163, Test: 0.7950, Best Val: 0.9163, Best Test: 0.7950
LR: 1.000e-03/ Epoch 100, Time(s): 1.4050 11.5030, Best Val loss: 0.3063, Accs: Train: 0.9330, Val: 0.9176, Test: 0.7969, Best Val: 0.9176, Best Test: 0.7969
LR: 1.000e-03/ Epoch 110, Time(s): 1.5439 11.3914, Best Val loss: 0.3032, Accs: Train: 0.9351, Val: 0.9187, Test: 0.7955, Best Val: 0.9187, Best Test: 0.7955
LR: 1.000e-03/ Epoch 120, Time(s): 1.5150 11.4184, Best Val loss: 0.3000, Accs: Train: 0.9366, Val: 0.9196, Test: 0.7974, Best Val: 0.9196, Best Test: 0.7974
LR: 1.000e-03/ Epoch 130, Time(s): 1.3878 11.3959, Best Val loss: 0.2979, Accs: Train: 0.9383, Val: 0.9202, Test: 0.7975, Best Val: 0.9202, Best Test: 0.7975
LR: 1.000e-03/ Epoch 140, Time(s): 1.4792 11.5431, Best Val loss: 0.2962, Accs: Train: 0.9397, Val: 0.9209, Test: 0.7990, Best Val: 0.9209, Best Test: 0.7990
LR: 1.000e-03/ Epoch 150, Time(s): 1.4737 11.6311, Best Val loss: 0.2943, Accs: Train: 0.9413, Val: 0.9219, Test: 0.7983, Best Val: 0.9219, Best Test: 0.7983
LR: 1.000e-03/ Epoch 160, Time(s): 1.5385 11.5486, Best Val loss: 0.2938, Accs: Train: 0.9424, Val: 0.9222, Test: 0.7991, Best Val: 0.9222, Best Test: 0.7991
LR: 1.000e-03/ Epoch 170, Time(s): 1.3345 11.1028, Best Val loss: 0.2924, Accs: Train: 0.9438, Val: 0.9232, Test: 0.8005, Best Val: 0.9232, Best Test: 0.8005
LR: 1.000e-03/ Epoch 180, Time(s): 1.5760 11.1863, Best Val loss: 0.2924, Accs: Train: 0.9448, Val: 0.9232, Test: 0.8006, Best Val: 0.9232, Best Test: 0.8005
LR: 1.000e-03/ Epoch 190, Time(s): 1.4941 11.1626, Best Val loss: 0.2907, Accs: Train: 0.9459, Val: 0.9236, Test: 0.8016, Best Val: 0.9236, Best Test: 0.8016
LR: 1.000e-03/ Epoch 200, Time(s): 1.3746 11.1420, Best Val loss: 0.2910, Accs: Train: 0.9469, Val: 0.9246, Test: 0.8018, Best Val: 0.9246, Best Test: 0.8018
LR: 1.000e-03/ Epoch 210, Time(s): 1.4749 11.0714, Best Val loss: 0.2910, Accs: Train: 0.9481, Val: 0.9245, Test: 0.8008, Best Val: 0.9246, Best Test: 0.8018
