Namespace(K=5, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.4, avoid_features=False, batch_size=600, chunks=1, data_dir='/home/data/pyg/', dataset='ogbn-products', dropout=0.4, emb_path='/home/scx/NARS/', epoch_setting=[1000], eval_batch_size=600, eval_every=10, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=1, inductive=False, input_drop=0.3, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='HCE_sign_xnor_case1', num_heads=1, num_hidden=512, num_runs=5, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=0, threshold=[0.9, 0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=0.0, weight_style='attention', zero_inits=False)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 2449029
# Edges: 123718280
# Train: 196615
# Val: 39323
# Test: 2213091
# Classes: 47
in_feats: 100
Compute neighbor-averaged feats all
Preprocessing costs 15.1388 s
# Params: 9138631
LR: 1.000e-03/ Epoch 10, Time(s): 62.1771 173.5950, Best Val loss: 0.5639, Accs: Train: 0.9106, Val: 0.8969, Test: 0.7602, Best Val: 0.8969, Best Test: 0.7602
LR: 1.000e-03/ Epoch 20, Time(s): 62.9065 168.9382, Best Val loss: 0.5451, Accs: Train: 0.9172, Val: 0.8991, Test: 0.7704, Best Val: 0.8991, Best Test: 0.7704
LR: 1.000e-03/ Epoch 30, Time(s): 86.1482 270.7377, Best Val loss: 0.5418, Accs: Train: 0.9205, Val: 0.9025, Test: 0.7669, Best Val: 0.9025, Best Test: 0.7669
LR: 1.000e-03/ Epoch 40, Time(s): 83.1289 281.2640, Best Val loss: 0.5263, Accs: Train: 0.9217, Val: 0.9041, Test: 0.7756, Best Val: 0.9041, Best Test: 0.7756
LR: 1.000e-03/ Epoch 50, Time(s): 79.1432 294.8635, Best Val loss: 0.5371, Accs: Train: 0.9223, Val: 0.9043, Test: 0.7746, Best Val: 0.9043, Best Test: 0.7746
LR: 1.000e-03/ Epoch 60, Time(s): 79.0489 286.0227, Best Val loss: 0.5371, Accs: Train: 0.9205, Val: 0.9008, Test: 0.7729, Best Val: 0.9043, Best Test: 0.7746
LR: 1.000e-03/ Epoch 70, Time(s): 82.8638 213.0181, Best Val loss: 0.5371, Accs: Train: 0.9217, Val: 0.9024, Test: 0.7687, Best Val: 0.9043, Best Test: 0.7746
LR: 1.000e-03/ Epoch 80, Time(s): 52.1343 145.9757, Best Val loss: 0.5371, Accs: Train: 0.9229, Val: 0.9038, Test: 0.7751, Best Val: 0.9043, Best Test: 0.7746
LR: 1.000e-03/ Epoch 90, Time(s): 52.4348 144.2003, Best Val loss: 0.5371, Accs: Train: 0.9232, Val: 0.9042, Test: 0.7738, Best Val: 0.9043, Best Test: 0.7746
LR: 1.000e-03/ Epoch 100, Time(s): 61.5292 159.9676, Best Val loss: 0.5442, Accs: Train: 0.9236, Val: 0.9055, Test: 0.7773, Best Val: 0.9055, Best Test: 0.7773
LR: 1.000e-03/ Epoch 110, Time(s): 63.2073 156.5861, Best Val loss: 0.5353, Accs: Train: 0.9240, Val: 0.9057, Test: 0.7770, Best Val: 0.9057, Best Test: 0.7770
LR: 1.000e-03/ Epoch 120, Time(s): 60.6151 157.1174, Best Val loss: 0.5376, Accs: Train: 0.9243, Val: 0.9058, Test: 0.7765, Best Val: 0.9058, Best Test: 0.7765
LR: 1.000e-03/ Epoch 130, Time(s): 62.4418 157.2041, Best Val loss: 0.5376, Accs: Train: 0.9228, Val: 0.9039, Test: 0.7788, Best Val: 0.9058, Best Test: 0.7765
LR: 1.000e-03/ Epoch 140, Time(s): 60.2132 155.4755, Best Val loss: 0.5376, Accs: Train: 0.9242, Val: 0.9029, Test: 0.7735, Best Val: 0.9058, Best Test: 0.7765
LR: 1.000e-03/ Epoch 150, Time(s): 59.7972 156.7645, Best Val loss: 0.5376, Accs: Train: 0.9214, Val: 0.9014, Test: 0.7790, Best Val: 0.9058, Best Test: 0.7765
LR: 1.000e-03/ Epoch 160, Time(s): 61.8620 155.2914, Best Val loss: 0.5376, Accs: Train: 0.9234, Val: 0.9043, Test: 0.7782, Best Val: 0.9058, Best Test: 0.7765
LR: 1.000e-03/ Epoch 170, Time(s): 60.2395 158.7081, Best Val loss: 0.5376, Accs: Train: 0.0003, Val: 0.0003, Test: 0.0004, Best Val: 0.9058, Best Test: 0.7765
LR: 1.000e-03/ Epoch 180, Time(s): 61.6826 155.6219, Best Val loss: 0.5376, Accs: Train: 0.9247, Val: 0.9050, Test: 0.7768, Best Val: 0.9058, Best Test: 0.7765
LR: 1.000e-03/ Epoch 190, Time(s): 60.2323 157.4823, Best Val loss: 0.5302, Accs: Train: 0.9249, Val: 0.9063, Test: 0.7755, Best Val: 0.9063, Best Test: 0.7755
LR: 1.000e-03/ Epoch 200, Time(s): 62.2741 157.7725, Best Val loss: 0.5302, Accs: Train: 0.9242, Val: 0.9045, Test: 0.7814, Best Val: 0.9063, Best Test: 0.7755
LR: 1.000e-03/ Epoch 210, Time(s): 60.6455 156.4581, Best Val loss: 0.5302, Accs: Train: 0.9246, Val: 0.9050, Test: 0.7775, Best Val: 0.9063, Best Test: 0.7755
LR: 1.000e-03/ Epoch 220, Time(s): 62.9075 155.2874, Best Val loss: 0.5302, Accs: Train: 0.9221, Val: 0.9025, Test: 0.7749, Best Val: 0.9063, Best Test: 0.7755
LR: 1.000e-03/ Epoch 230, Time(s): 61.0419 156.4310, Best Val loss: 0.5302, Accs: Train: 0.9238, Val: 0.9038, Test: 0.7834, Best Val: 0.9063, Best Test: 0.7755
LR: 1.000e-03/ Epoch 240, Time(s): 60.2570 156.7652, Best Val loss: 0.5302, Accs: Train: 0.9236, Val: 0.9037, Test: 0.7793, Best Val: 0.9063, Best Test: 0.7755
LR: 1.000e-03/ Epoch 250, Time(s): 61.7892 154.1954, Best Val loss: 0.5302, Accs: Train: 0.9235, Val: 0.9044, Test: 0.7840, Best Val: 0.9063, Best Test: 0.7755
LR: 1.000e-03/ Epoch 260, Time(s): 60.3676 156.4225, Best Val loss: 0.5278, Accs: Train: 0.9240, Val: 0.9074, Test: 0.7791, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-03/ Epoch 270, Time(s): 62.6439 156.3213, Best Val loss: 0.5278, Accs: Train: 0.9237, Val: 0.9053, Test: 0.7812, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-03/ Epoch 280, Time(s): 60.5783 156.7561, Best Val loss: 0.5278, Accs: Train: 0.0015, Val: 0.0015, Test: 0.0012, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-03/ Epoch 290, Time(s): 62.4403 154.8649, Best Val loss: 0.5278, Accs: Train: 0.9235, Val: 0.9060, Test: 0.7820, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-03/ Epoch 300, Time(s): 61.2590 157.5184, Best Val loss: 0.5278, Accs: Train: 0.9237, Val: 0.9046, Test: 0.7775, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-03/ Epoch 310, Time(s): 60.5692 155.7813, Best Val loss: 0.5278, Accs: Train: 0.9239, Val: 0.9065, Test: 0.7826, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-03/ Epoch 320, Time(s): 62.8840 156.4778, Best Val loss: 0.5278, Accs: Train: 0.9241, Val: 0.9060, Test: 0.7820, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-03/ Epoch 330, Time(s): 60.8378 156.1184, Best Val loss: 0.5278, Accs: Train: 0.9226, Val: 0.9039, Test: 0.7693, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-03/ Epoch 340, Time(s): 62.1339 155.8975, Best Val loss: 0.5278, Accs: Train: 0.9223, Val: 0.9058, Test: 0.7782, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-03/ Epoch 350, Time(s): 60.9833 157.8519, Best Val loss: 0.5278, Accs: Train: 0.9238, Val: 0.9044, Test: 0.7755, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-03/ Epoch 360, Time(s): 60.2851 156.2824, Best Val loss: 0.5278, Accs: Train: 0.9240, Val: 0.9031, Test: 0.7774, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-03/ Epoch 370, Time(s): 62.3939 158.9445, Best Val loss: 0.5278, Accs: Train: 0.9241, Val: 0.9028, Test: 0.7798, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-03/ Epoch 380, Time(s): 61.3949 161.2009, Best Val loss: 0.5278, Accs: Train: 0.9257, Val: 0.9062, Test: 0.7785, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-03/ Epoch 390, Time(s): 61.7245 158.7183, Best Val loss: 0.5278, Accs: Train: 0.9247, Val: 0.9043, Test: 0.7752, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-04/ Epoch 400, Time(s): 60.6123 157.3737, Best Val loss: 0.5278, Accs: Train: 0.9255, Val: 0.9059, Test: 0.7808, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-04/ Epoch 410, Time(s): 60.8435 155.8695, Best Val loss: 0.5278, Accs: Train: 0.9248, Val: 0.9050, Test: 0.7778, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-04/ Epoch 420, Time(s): 62.4938 157.8560, Best Val loss: 0.5278, Accs: Train: 0.9261, Val: 0.9044, Test: 0.7837, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-04/ Epoch 430, Time(s): 60.5161 156.8553, Best Val loss: 0.5278, Accs: Train: 0.9262, Val: 0.9057, Test: 0.7818, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-04/ Epoch 440, Time(s): 61.7455 157.1240, Best Val loss: 0.5278, Accs: Train: 0.9257, Val: 0.9047, Test: 0.7801, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-04/ Epoch 450, Time(s): 61.2341 161.6200, Best Val loss: 0.5278, Accs: Train: 0.9265, Val: 0.9054, Test: 0.7787, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-04/ Epoch 460, Time(s): 49.6310 136.6568, Best Val loss: 0.5278, Accs: Train: 0.9263, Val: 0.9053, Test: 0.7806, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-04/ Epoch 470, Time(s): 50.4272 136.9132, Best Val loss: 0.5278, Accs: Train: 0.9268, Val: 0.9063, Test: 0.7851, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-04/ Epoch 480, Time(s): 50.6921 136.2619, Best Val loss: 0.5278, Accs: Train: 0.9270, Val: 0.9063, Test: 0.7849, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-04/ Epoch 490, Time(s): 49.5416 136.4727, Best Val loss: 0.5278, Accs: Train: 0.9267, Val: 0.9053, Test: 0.7772, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-04/ Epoch 500, Time(s): 49.4359 148.8899, Best Val loss: 0.5278, Accs: Train: 0.9269, Val: 0.9060, Test: 0.7756, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-04/ Epoch 510, Time(s): 53.5100 146.7229, Best Val loss: 0.5278, Accs: Train: 0.9276, Val: 0.9067, Test: 0.7856, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-04/ Epoch 520, Time(s): 54.3149 145.2897, Best Val loss: 0.5278, Accs: Train: 0.9280, Val: 0.9070, Test: 0.7806, Best Val: 0.9074, Best Test: 0.7791
LR: 1.000e-04/ Epoch 530, Time(s): 54.4257 146.4064, Best Val loss: 0.5278, Accs: Train: 0.9270, Val: 0.9065, Test: 0.7813, Best Val: 0.9074, Best Test: 0.7791
