Namespace(K=2, acc_loss='acc', aggr_gpu=-1, alpha=0.5, attn_drop=0.0, avoid_features=False, batch_size=20000, chunks=1, data_dir='/home/data/pyg/', dataset='yelp', dropout=0.1, emb_path='/home/scx/NARS/', epoch_setting=[100], eval_batch_size=200000, eval_every=1, example_subsets_path='/home/scx/NARS/sample_relation_subsets/examples', fixed_subsets=False, focal='first', gpu=0, inductive=True, input_drop=0.0, label_K=9, label_drop=0.5, label_mlp_layer=4, label_residual=False, load_embs=False, load_label_emb=False, lr=0.0001, mag_emb=False, memory_efficient=False, mlp_layer=2, model='sagn', num_heads=1, num_hidden=512, num_runs=10, position_emb=False, pretrain_model='ComplEx', probs_dir='../intermediate_outputs', sample_size=8, seed=0, threshold=[0.9], use_labels=False, use_norm=False, warmup_stage=-1, weight_decay=5e-06, weight_style='attention', zero_inits=True)
----------------------------------------------------------------------------------------------------
Run 0 start training
----------------------------------------------------------------------------------------------------
Stage 0 start training
# Nodes: 716847
# Edges: 13954819
# Train: 537635
# Val: 107527
# Test: 71685
# Classes: 100
in_feats: 300
Inductive setting detected
Load train subgraph
Compute neighbor-averaged feats all
Compute neighbor-averaged feats all
Preprocessing costs 9.4016 s
# Params: 1724004
LR: 1.000e-05/ Epoch 1, Time(s): 3.4637 4.4754, Best Val loss: 0.6906, Accs: Train: 0.3621, Val: 0.3611, Test: 0.3614, Best Val: 0.3611, Best Test: 0.3614
LR: 2.000e-05/ Epoch 2, Time(s): 3.4383 3.8943, Best Val loss: 0.6906, Accs: Train: 0.2878, Val: 0.2880, Test: 0.2874, Best Val: 0.3611, Best Test: 0.3614
LR: 3.000e-05/ Epoch 3, Time(s): 3.7300 4.9479, Best Val loss: 0.6906, Accs: Train: 0.3024, Val: 0.3032, Test: 0.3028, Best Val: 0.3611, Best Test: 0.3614
LR: 4.000e-05/ Epoch 4, Time(s): 3.7234 4.0380, Best Val loss: 0.6906, Accs: Train: 0.2582, Val: 0.2593, Test: 0.2597, Best Val: 0.3611, Best Test: 0.3614
LR: 5.000e-05/ Epoch 5, Time(s): 3.6667 3.8873, Best Val loss: 0.6906, Accs: Train: 0.2142, Val: 0.2153, Test: 0.2153, Best Val: 0.3611, Best Test: 0.3614
LR: 6.000e-05/ Epoch 6, Time(s): 3.8011 3.9982, Best Val loss: 0.6906, Accs: Train: 0.1628, Val: 0.1624, Test: 0.1623, Best Val: 0.3611, Best Test: 0.3614
LR: 7.000e-05/ Epoch 7, Time(s): 3.5632 3.9791, Best Val loss: 0.6906, Accs: Train: 0.1723, Val: 0.1722, Test: 0.1714, Best Val: 0.3611, Best Test: 0.3614
LR: 8.000e-05/ Epoch 8, Time(s): 3.5515 3.9882, Best Val loss: 0.6906, Accs: Train: 0.1915, Val: 0.1924, Test: 0.1918, Best Val: 0.3611, Best Test: 0.3614
LR: 9.000e-05/ Epoch 9, Time(s): 3.6437 3.6580, Best Val loss: 0.6906, Accs: Train: 0.1793, Val: 0.1797, Test: 0.1793, Best Val: 0.3611, Best Test: 0.3614
LR: 1.000e-04/ Epoch 10, Time(s): 4.0387 3.9021, Best Val loss: 0.6906, Accs: Train: 0.1998, Val: 0.1996, Test: 0.1999, Best Val: 0.3611, Best Test: 0.3614
LR: 1.000e-04/ Epoch 11, Time(s): 3.4423 3.7331, Best Val loss: 0.6906, Accs: Train: 0.2923, Val: 0.2932, Test: 0.2934, Best Val: 0.3611, Best Test: 0.3614
LR: 1.000e-04/ Epoch 12, Time(s): 4.2555 3.9338, Best Val loss: 0.6906, Accs: Train: 0.3030, Val: 0.3025, Test: 0.3026, Best Val: 0.3611, Best Test: 0.3614
LR: 1.000e-04/ Epoch 13, Time(s): 3.6005 3.6811, Best Val loss: 0.6906, Accs: Train: 0.2920, Val: 0.2911, Test: 0.2912, Best Val: 0.3611, Best Test: 0.3614
LR: 1.000e-04/ Epoch 14, Time(s): 3.5072 3.9638, Best Val loss: 0.6906, Accs: Train: 0.2745, Val: 0.2732, Test: 0.2732, Best Val: 0.3611, Best Test: 0.3614
LR: 1.000e-04/ Epoch 15, Time(s): 3.6743 4.0122, Best Val loss: 0.6906, Accs: Train: 0.3090, Val: 0.3069, Test: 0.3065, Best Val: 0.3611, Best Test: 0.3614
LR: 1.000e-04/ Epoch 16, Time(s): 3.3843 3.8138, Best Val loss: 0.6906, Accs: Train: 0.2951, Val: 0.2933, Test: 0.2927, Best Val: 0.3611, Best Test: 0.3614
LR: 1.000e-04/ Epoch 17, Time(s): 3.8648 3.9804, Best Val loss: 0.2247, Accs: Train: 0.4004, Val: 0.3991, Test: 0.3991, Best Val: 0.3991, Best Test: 0.3991
LR: 1.000e-04/ Epoch 18, Time(s): 3.5864 3.8137, Best Val loss: 0.2247, Accs: Train: 0.2962, Val: 0.2953, Test: 0.2944, Best Val: 0.3991, Best Test: 0.3991
LR: 1.000e-04/ Epoch 19, Time(s): 3.7121 3.9255, Best Val loss: 0.2247, Accs: Train: 0.3775, Val: 0.3767, Test: 0.3764, Best Val: 0.3991, Best Test: 0.3991
LR: 1.000e-04/ Epoch 20, Time(s): 4.0056 3.8824, Best Val loss: 0.2112, Accs: Train: 0.4408, Val: 0.4403, Test: 0.4407, Best Val: 0.4403, Best Test: 0.4407
LR: 1.000e-04/ Epoch 21, Time(s): 4.0935 4.0273, Best Val loss: 0.2112, Accs: Train: 0.4228, Val: 0.4220, Test: 0.4218, Best Val: 0.4403, Best Test: 0.4407
LR: 1.000e-04/ Epoch 22, Time(s): 3.4896 3.8058, Best Val loss: 0.2112, Accs: Train: 0.4050, Val: 0.4031, Test: 0.4034, Best Val: 0.4403, Best Test: 0.4407
LR: 1.000e-04/ Epoch 23, Time(s): 3.7544 3.8018, Best Val loss: 0.2112, Accs: Train: 0.4072, Val: 0.4058, Test: 0.4061, Best Val: 0.4403, Best Test: 0.4407
LR: 1.000e-04/ Epoch 24, Time(s): 3.7351 3.8472, Best Val loss: 0.2112, Accs: Train: 0.3497, Val: 0.3478, Test: 0.3488, Best Val: 0.4403, Best Test: 0.4407
LR: 1.000e-04/ Epoch 25, Time(s): 3.6913 3.7240, Best Val loss: 0.1960, Accs: Train: 0.4464, Val: 0.4456, Test: 0.4462, Best Val: 0.4456, Best Test: 0.4462
LR: 1.000e-04/ Epoch 26, Time(s): 3.6841 3.8972, Best Val loss: 0.1960, Accs: Train: 0.4185, Val: 0.4159, Test: 0.4163, Best Val: 0.4456, Best Test: 0.4462
LR: 1.000e-04/ Epoch 27, Time(s): 3.6520 3.9148, Best Val loss: 0.1937, Accs: Train: 0.4893, Val: 0.4867, Test: 0.4872, Best Val: 0.4867, Best Test: 0.4872
LR: 1.000e-04/ Epoch 28, Time(s): 3.7942 4.0023, Best Val loss: 0.1937, Accs: Train: 0.4888, Val: 0.4863, Test: 0.4867, Best Val: 0.4867, Best Test: 0.4872
LR: 1.000e-04/ Epoch 29, Time(s): 3.4772 3.8382, Best Val loss: 0.1937, Accs: Train: 0.4319, Val: 0.4297, Test: 0.4308, Best Val: 0.4867, Best Test: 0.4872
LR: 1.000e-04/ Epoch 30, Time(s): 3.6201 3.8434, Best Val loss: 0.1937, Accs: Train: 0.3867, Val: 0.3862, Test: 0.3862, Best Val: 0.4867, Best Test: 0.4872
LR: 1.000e-04/ Epoch 31, Time(s): 3.5127 3.8430, Best Val loss: 0.1901, Accs: Train: 0.5337, Val: 0.5307, Test: 0.5311, Best Val: 0.5307, Best Test: 0.5311
LR: 1.000e-04/ Epoch 32, Time(s): 3.6083 3.8365, Best Val loss: 0.1901, Accs: Train: 0.5301, Val: 0.5270, Test: 0.5266, Best Val: 0.5307, Best Test: 0.5311
LR: 1.000e-04/ Epoch 33, Time(s): 3.5733 3.8719, Best Val loss: 0.1901, Accs: Train: 0.5235, Val: 0.5210, Test: 0.5214, Best Val: 0.5307, Best Test: 0.5311
